COUNTY AREA TOTAL DEM REP LIB WRI
"Charlottesville City" "402 - Alumni Hall" 943 678 258 6 1
"Chesapeake City" "# Ab - Central Absentee Precinct" 3309 2585 673 50 1
"Chesapeake City" "# Ab - Central Absentee Precinct" 4059 2696 1332 30 1
"Chesapeake City" "# Ev - Central Absentee Precinct" 12608 7742 4791 70 5
"Chesapeake City" "# Ev - Central Absentee Precinct" 18902 8270 10563 64 5
"Chesapeake City" "# Pe - Central Absentee Precinct" 313 229 66 18 0
"Chesapeake City" "# Pe - Central Absentee Precinct" 416 247 155 10 4
"Chesapeake City" "## Provisional" 95 68 25 2 0
"Chesapeake City" "## Provisional" 110 65 44 1 0
"Chesapeake City" "1 - Great Bridge" 871 240 623 6 2
"Chesapeake City" "2 - Bethel" 1129 137 989 3 0
"Chesapeake City" "3 - Camelot" 659 560 84 15 0
"Chesapeake City" "4 - Churchland" 812 225 583 4 0
"Chesapeake City" "5 - Crestwood" 825 677 139 9 0
"Chesapeake City" "6 - Deep Creek" 884 358 523 3 0
"Chesapeake City" "7 - Greenbrier" 756 250 501 5 0
"Chesapeake City" "8 - South Norfolk Recreation" 1077 499 567 11 0
"Chesapeake City" "9 - Bells Mill" 1343 303 1037 3 0
"Chesapeake City" "10 - Oscar Smith" 501 212 285 4 0
"Chesapeake City" "11 - Geneva Park" 745 252 483 10 0
"Chesapeake City" "12 - Georgetown" 568 439 122 7 0
"Chesapeake City" "13 - Gilmerton" 922 378 536 8 0
"Chesapeake City" "14 - Grassfield" 853 255 591 6 1
"Chesapeake City" "15 - Greenbrier Middle School" 849 443 395 11 0
"Chesapeake City" "16 - Hickory Grove" 1222 258 953 11 0
"Chesapeake City" "17 - Indian Creek" 962 164 787 11 0
"Chesapeake City" "18 - Indian River" 631 355 261 15 0
"Chesapeake City" "19 - Jolliff" 683 188 490 5 0
"Chesapeake City" "20 - E W Chittum" 1058 382 667 7 2
"Chesapeake City" "21 - Fellowship" 1003 376 621 6 0
"Chesapeake City" "22 - Norfolk Highlands" 594 204 385 4 1
"Chesapeake City" "23 - Oak Grove" 929 452 470 7 0
"Chesapeake City" "24 - Oaklette" 709 332 363 14 0
"Chesapeake City" "25 - St Julians" 734 404 317 13 0
"Chesapeake City" "26 - Johnson Park" 463 263 190 9 1
"Chesapeake City" "27 - Silverwood" 895 321 564 10 0
"Chesapeake City" "28 - Sunray I" 223 65 158 0 0
"Chesapeake City" "29 - Tanglewood" 740 199 535 5 1
"Chesapeake City" "30 - South Norfolk" 379 348 23 6 2
"Chesapeake City" "31 - Carver School" 734 556 166 7 5
"Chesapeake City" "32 - Providence" 774 696 66 9 3
"Chesapeake City" "33 - Westover" 599 190 406 2 1
"Chesapeake City" "34 - Hickory Middle School" 1208 232 974 2 0
"Chesapeake City" "35 - Taylor Road" 503 310 188 4 1
"Chesapeake City" "36 - Great Bridge Baptist Church" 949 234 711 3 1
"Chesapeake City" "37 - Bridgetown" 978 275 701 1 1
"Chesapeake City" "38 - Bailey Creek" 871 218 650 3 0
"Chesapeake City" "39 - Lake Drummond" 724 266 456 2 0
"Chesapeake City" "41 - John T West" 1499 644 827 24 4
"Chesapeake City" "42 - Parkways" 660 371 285 4 0
"Chesapeake City" "43 - Pleasant Crossing" 935 182 746 7 0
"Chesapeake City" "44 - Nansemond" 766 401 358 6 1
"Chesapeake City" "45 - Sunray Ii" 328 175 150 3 0
"Chesapeake City" "46 - Bells Mill Ii" 942 336 599 7 0
"Chesapeake City" "48 - Jolliff Middle School" 803 669 121 12 1
"Chesapeake City" "49 - Waterway" 764 305 457 2 0
"Chesapeake City" "50 - River Walk" 987 509 467 9 2
"Chesapeake City" "51 - Coopers Way" 1544 360 1176 6 2
"Chesapeake City" "52 - Shipyard Road" 747 354 384 9 0
"Chesapeake City" "53 - Fairways" 1095 512 578 4 1
"Chesapeake City" "54 - Pughsville" 665 432 224 7 2
"Chesapeake City" "55 - Georgetown East" 449 297 142 9 1
"Chesapeake City" "56 - Green Tree" 709 360 344 3 2
"Chesapeake City" "57 - Cypress" 676 335 332 8 1
"Chesapeake City" "58 - Expressway" 342 216 123 3 0
"Chesapeake City" "59 - Clearfield" 963 426 535 1 1
"Chesapeake City" "60 - Parker Road" 909 224 682 2 1
"Chesapeake City" "61 - Centerville" 1365 346 1011 7 1
"Chesapeake City" "62 - Fentress" 1205 304 901 0 0
"Chesapeake City" "63 - Poplar Branch" 623 99 519 4 1
"Chesapeake City" "64 - Deep Creek Ii" 784 340 435 9 0
"Chesapeake City" "65 - Waterway Ii" 768 292 474 2 0
"Chesterfield County" "# Ab - Central Absentee Precinct" 3559 2431 1084 42 2
"Chesterfield County" "# Ab - Central Absentee Precinct" 11520 8122 3247 136 15
"Chesterfield County" "# Ev - Central Absentee Precinct" 15761 6807 8890 57 7
"Chesterfield County" "# Ev - Central Absentee Precinct" 37428 18131 19109 170 18
"Chesterfield County" "# Pe - Central Absentee Precinct" 241 171 64 6 0
"Chesterfield County" "# Pe - Central Absentee Precinct" 791 553 218 20 0
"Chesterfield County" "## Provisional" 32 23 9 0 0
"Chesterfield County" "## Provisional" 154 105 45 4 0
"Chesterfield County" "101 - Bellwood" 812 365 435 12 0
"Chesterfield County" "102 - South Chester" 1189 482 688 18 1
"Chesterfield County" "103 - Enon" 1776 642 1123 11 0
"Chesterfield County" "104 - North Chester" 1336 447 876 10 3
"Chesterfield County" "105 - Drewrys Bluff" 734 407 317 10 0
"Chesterfield County" "106 - Harrowgate" 1588 749 820 18 1
"Chesterfield County" "107 - Wells" 1170 537 621 11 1
"Chesterfield County" "108 - Ecoff" 1379 484 883 11 1
"Chesterfield County" "109 - Elizabeth Scott" 1838 752 1076 8 2
"Chesterfield County" "110 - Dutch Gap" 981 390 580 11 0
"Chesterfield County" "111 - Iron Bridge" 748 258 480 10 0
"Chesterfield County" "112 - Carver" 919 437 480 2 0
"Chesterfield County" "113 - Iron Bridge North" 835 400 423 11 1
"Chesterfield County" "201 - Gates" 791 303 480 8 0
"Chesterfield County" "202 - Beulah" 1226 777 425 23 1
"Chesterfield County" "203 - Bird" 564 227 328 9 0
"Chesterfield County" "204 - Jacobs" 789 388 395 6 0
"Chesterfield County" "205 - Falling Creek" 944 633 304 7 0
"Chesterfield County" "206 - Belmont" 564 438 115 11 0
"Chesterfield County" "207 - Chippenham" 343 223 114 6 0
"Chesterfield County" "208 - Meadowbrook" 858 594 255 9 0
"Chesterfield County" "209 - Salem Church" 963 374 580 7 2
"Chesterfield County" "210 - Five Forks" 1462 858 583 16 5
"Chesterfield County" "211 - Nash" 1469 457 1004 7 1
"Chesterfield County" "212 - St. Luke's" 704 295 401 6 2
"Chesterfield County" "213 - Southside" 562 382 169 9 2
"Chesterfield County" "214 - Hopkins" 141 110 27 4 0
"Chesterfield County" "215 - North Bird" 452 277 170 5 0
"Chesterfield County" "216 - Ridgedale" 849 647 194 8 0
"Chesterfield County" "301 - Ettrick" 867 603 251 10 3
"Chesterfield County" "302 - Deer Run" 452 158 292 2 0
"Chesterfield County" "303 - Matoaca" 1299 484 805 8 2
"Chesterfield County" "304 - Winfrees Store" 985 202 779 4 0
"Chesterfield County" "305 - Beach" 508 94 411 3 0
"Chesterfield County" "306 - Winterpock" 1622 331 1285 6 0
"Chesterfield County" "307 - Cosby" 2325 934 1368 19 4
"Chesterfield County" "308 - South Manchester" 405 207 194 4 0
"Chesterfield County" "309 - Skinquarter" 1307 432 869 6 0
"Chesterfield County" "310 - Tomahawk" 1433 575 851 7 0
"Chesterfield County" "313 - Woolridge" 1866 722 1133 11 0
"Chesterfield County" "314 - Longhouse" 642 106 531 4 1
"Chesterfield County" "315 - Bailey Bridge" 1309 324 972 12 1
"Chesterfield County" "316 - Spring Run" 1335 496 820 18 1
"Chesterfield County" "317 - Birkdale" 1626 610 1009 6 1
"Chesterfield County" "318 - West Beach" 465 155 309 1 0
"Chesterfield County" "319 - Magnolia" 2076 729 1340 6 1
"Chesterfield County" "401 - Harbour Pointe" 822 331 485 4 2
"Chesterfield County" "402 - Genito" 513 243 267 3 0
"Chesterfield County" "403 - Brandermill" 1409 594 798 17 0
"Chesterfield County" "404 - Providence" 1046 530 503 13 0
"Chesterfield County" "405 - La Prade" 991 421 560 9 1
"Chesterfield County" "406 - Smoketree" 1053 434 608 8 3
"Chesterfield County" "407 - Monacan" 646 249 389 7 1
"Chesterfield County" "408 - Reams" 1352 713 614 25 0
"Chesterfield County" "409 - Manchester" 784 402 376 6 0
"Chesterfield County" "410 - Wagstaff" 774 346 411 17 0
"Chesterfield County" "411 - Swift Creek" 1284 551 723 9 1
"Chesterfield County" "412 - Clover Hill" 1216 523 682 10 1
"Chesterfield County" "413 - Shenandoah" 1128 543 571 14 0
"Chesterfield County" "414 - Crenshaw" 1789 721 1049 18 1
"Chesterfield County" "415 - Evergreen" 1146 471 656 19 0
"Chesterfield County" "416 - Evergreen West" 857 385 466 6 0
"Chesterfield County" "417 - Edgewater" 839 357 479 2 1
"Chesterfield County" "501 - Huguenot" 1088 558 513 17 0
"Chesterfield County" "502 - Crestwood" 707 358 341 7 1
"Chesterfield County" "503 - Midlothian" 1437 565 865 7 0
"Chesterfield County" "504 - Robious" 1923 772 1143 5 3
"Chesterfield County" "505 - Bon Air" 1456 779 657 19 1
"Chesterfield County" "506 - Greenfield" 1397 756 623 16 2
"Chesterfield County" "507 - Salisbury" 2023 758 1257 5 3
"Chesterfield County" "508 - Belgrade" 1108 495 602 9 2
"Chesterfield County" "509 - Cranbeck" 908 514 389 5 0
"Chesterfield County" "510 - Sycamore" 1325 530 788 7 0
"Chesterfield County" "511 - Black Heath" 1094 414 670 8 2
"Chesterfield County" "513 - Beaufont" 556 355 191 10 0
"Chesterfield County" "514 - Watkins" 1493 593 885 15 0
"Chesterfield County" "515 - Davis" 859 615 223 18 3
"Chesterfield County" "516 - Pocoshock" 613 414 191 7 1
"Chesterfield County" "517 - Roseland" 1178 433 742 3 0
"Chesterfield County" "518 - Midlothian North" 1469 524 941 3 1
"Clarke County" "# Ab - Central Absentee Precinct" 469 326 142 1 0
"Clarke County" "# Ev - Central Absentee Precinct" 2273 1044 1221 8 0
"Clarke County" "# Pe - Central Absentee Precinct" 24 11 12 1 0
"Clarke County" "## Provisional" 7 4 3 0 0
"Clarke County" "101 - Russell" 953 223 726 3 1
"Clarke County" "201 - Berryville" 750 271 478 1 0
"Clarke County" "301 - Millwood" 625 172 447 4 2
"Clarke County" "302 - Pine Grove" 361 110 245 5 1
"Clarke County" "401 - White Post" 1004 289 707 6 2
"Clarke County" "501 - Buckmarsh" 634 194 440 0 0
"Clarke County" "502 - Blue Ridge" 322 95 221 5 1
"Colonial Heights City" "# Ab - Central Absentee Precinct" 421 200 213 8 0
"Colonial Heights City" "# Ev - Central Absentee Precinct" 2549 570 1965 12 2
"Colonial Heights City" "# Pe - Central Absentee Precinct" 14 10 3 1 0
"Colonial Heights City" "## Provisional" 1 0 1 0 0
"Colonial Heights City" "1 - First" 595 151 438 4 2
"Colonial Heights City" "2 - Second" 662 175 479 7 1
"Colonial Heights City" "3 - Third" 748 198 539 8 3
"Colonial Heights City" "4 - Fourth" 786 224 550 11 1
"Colonial Heights City" "5 - Fifth" 929 201 725 2 1
"Covington City" "# Ab - Central Absentee Precinct" 364 184 174 6 0
"Covington City" "# Ev - Central Absentee Precinct" 0 0 0 0 0
"Covington City" "# Pe - Central Absentee Precinct" 2 2 0 0 0
"Covington City" "## Provisional" 0 0 0 0 0
"Covington City" "101 - Precinct 1-1" 230 66 163 1 0
"Covington City" "201 - Precinct 2-1" 276 83 193 0 0
"Covington City" "301 - Precinct 3-1" 182 88 91 3 0
"Covington City" "401 - Precinct 4-1" 356 75 277 4 0
"Covington City" "501 - Precinct 5-1" 383 81 300 2 0
"Craig County" "# Ab - Central Absentee Precinct" 92 46 45 1 0
"Craig County" "# Ev - Central Absentee Precinct" 467 85 377 4 1
"Craig County" "# Pe - Central Absentee Precinct" 1 0 1 0 0
"Craig County" "## Provisional" 0 0 0 0 0
"Craig County" "101 - Court House" 329 41 286 2 0
"Craig County" "201 - Ammendale Precinct" 427 42 381 2 2
"Craig County" "301 - Givens & Reynolds Store" 280 53 224 3 0
"Craig County" "303 - Marshalls Store" 201 34 164 3 0
"Craig County" "401 - Barbours Creek" 179 28 148 2 1
"Craig County" "402 - Paint Bank" 33 8 25 0 0
"Craig County" "403 - Craig Springs" 177 27 150 0 0
"Craig County" "501 - Craig City" 314 36 278 0 0
"Culpeper County" "# Ab - Central Absentee Precinct" 1559 1031 509 18 1
"Culpeper County" "# Ev - Central Absentee Precinct" 4588 2042 2529 15 2
"Culpeper County" "# Pe - Central Absentee Precinct" 40 23 17 0 0
"Culpeper County" "## Provisional" 24 11 11 2 0
"Culpeper County" "101 - West Fairfax" 1476 572 887 14 3
"Culpeper County" "201 - East Fairfax" 1208 523 670 15 0
"Culpeper County" "302 - Eggbornsville" 946 166 776 4 0
"Culpeper County" "303 - Cardova" 750 135 612 3 0
"Culpeper County" "304 - Willow Shade" 294 102 188 4 0
"Culpeper County" "401 - Eldorado" 991 212 778 1 0
"Culpeper County" "402 - Browns Store" 1483 334 1143 6 0
"Culpeper County" "501 - Jeffersonton" 1439 339 1093 6 1
"Culpeper County" "502 - Rixeyville" 1226 225 996 5 0
"Culpeper County" "601 - Mitchells" 220 53 166 1 0
"Culpeper County" "602 - Pearl Sample" 1140 296 840 4 0
"Culpeper County" "603 - South Ridge" 368 132 233 3 0
"Culpeper County" "702 - Brandy Station" 1356 268 1083 2 3
"Culpeper County" "703 - Lignum" 671 135 534 2 0
"Culpeper County" "704 - Richardsville" 435 62 371 2 0
"Cumberland County" "# Ab - Central Absentee Precinct" 224 141 76 7 0
"Cumberland County" "# Ev - Central Absentee Precinct" 940 444 491 3 2
"Cumberland County" "# Pe - Central Absentee Precinct" 3 2 1 0 0
"Cumberland County" "## Provisional" 1 1 0 0 0
"Cumberland County" "101 - Precinct 1" 760 205 551 4 0
"Cumberland County" "201 - Precinct 2" 597 141 450 3 3
"Cumberland County" "301 - Precinct 3" 491 210 279 2 0
"Cumberland County" "401 - Precinct 4" 627 154 469 4 0
"Cumberland County" "501 - Precinct 5" 582 217 361 4 0
"Danville City" "# Ab - Central Absentee Precinct" 1207 847 345 15 0
"Danville City" "# Ev - Central Absentee Precinct" 3103 1598 1493 11 1
"Danville City" "# Pe - Central Absentee Precinct" 26 14 12 0 0
"Danville City" "## Provisional" 23 19 4 0 0
"Danville City" "1 - Ward One" 219 153 60 6 0
"Danville City" "2 - Ward Two" 261 148 110 2 1
"Danville City" "3 - Ward Three" 472 295 172 5 0
"Danville City" "4 - Ward Four" 965 454 505 6 0
"Danville City" "6 - Ward Six" 251 195 55 1 0
"Danville City" "7 - Ward Seven" 377 290 85 2 0
"Danville City" "8 - Ward Eight" 405 254 151 0 0
"Danville City" "9 - Ward Nine" 420 192 222 6 0
"Danville City" "10 - Ward Ten" 586 299 283 2 2
"Danville City" "11 - Ward Eleven" 674 416 257 1 0
"Danville City" "12 - Ward Twelve" 781 428 348 5 0
"Danville City" "13 - Ward Thirteen" 703 386 313 4 0
"Danville City" "14 - Ward Fourteen" 91 81 9 1 0
"Danville City" "15 - Ward Fifteen" 701 311 385 5 0
"Danville City" "16 - Ward Sixteen" 883 316 561 5 1
"Danville City" "17 - Ward Seventeen" 716 176 537 3 0
"Dickenson County" "# Ab - Central Absentee Precinct" 226 112 111 3 0
"Dickenson County" "# Ev - Central Absentee Precinct" 1218 353 863 2 0
"Dickenson County" "# Pe - Central Absentee Precinct" 6 4 2 0 0
"Dickenson County" "## Provisional" 5 3 2 0 0
"Dickenson County" "101 - South Clintwood" 571 73 496 2 0
"Dickenson County" "201 - Nora" 251 32 219 0 0
"Dickenson County" "202 - Frying Pan" 106 13 91 1 1
"Dickenson County" "203 - Clinchco" 325 51 274 0 0
"Dickenson County" "301 - West Dante" 160 6 152 1 1
"Dickenson County" "302 - Herald" 287 21 266 0 0
"Dickenson County" "303 - Ridge" 217 26 190 1 0
"Dickenson County" "304 - Longs Fork" 177 12 165 0 0
"Dickenson County" "401 - Haysi-Colley" 625 132 493 0 0
"Dickenson County" "501 - Tarpon" 158 26 131 1 0
"Dickenson County" "502 - North Clintwood" 483 70 412 0 1
"Dinwiddie County" "# Ab - Central Absentee Precinct" 634 432 190 11 1
"Dinwiddie County" "# Ev - Central Absentee Precinct" 3219 1345 1860 14 0
"Dinwiddie County" "# Pe - Central Absentee Precinct" 28 18 10 0 0
"Dinwiddie County" "## Provisional" 4 3 1 0 0
"Dinwiddie County" "101 - White Oak" 420 63 356 1 0
"Dinwiddie County" "102 - Rocky Run" 539 85 453 1 0
"Dinwiddie County" "103 - Church Road" 867 98 768 1 0
"Dinwiddie County" "201 - Rohoic" 429 221 203 5 0
"Dinwiddie County" "202 - Sutherland" 1055 309 738 7 1
"Dinwiddie County" "301 - Reams" 412 79 331 0 2
"Dinwiddie County" "302 - New Hope" 576 157 416 3 0
"Dinwiddie County" "303 - Little Zion" 701 267 430 4 0
"Dinwiddie County" "401 - Dinwiddie" 749 206 539 3 1
"Dinwiddie County" "402 - Mckenney" 501 150 350 1 0
"Dinwiddie County" "403 - Cherry Hill" 333 113 219 0 1
"Dinwiddie County" "501 - Edgehill" 130 82 45 2 1
"Dinwiddie County" "502 - Chesdin" 985 553 426 6 0
"Emporia City" "# Ab - Central Absentee Precinct" 149 107 41 1 0
"Emporia City" "# Ev - Central Absentee Precinct" 425 273 141 11 0
"Emporia City" "# Pe - Central Absentee Precinct" 1 0 1 0 0
"Emporia City" "## Provisional" 1 1 0 0 0
"Emporia City" "101 - Precinct 1-1" 218 143 73 2 0
"Emporia City" "201 - Precinct 2-1" 109 100 8 1 0
"Emporia City" "301 - Precinct 3-1" 201 84 114 3 0
"Emporia City" "401 - Precinct 4-1" 242 114 128 0 0
"Emporia City" "501 - Precinct 5-1" 98 89 7 0 2
"Emporia City" "601 - District 6" 225 67 157 1 0
"Emporia City" "701 - District 7" 163 109 53 1 0
"Essex County" "# Ab - Central Absentee Precinct" 255 172 77 4 2
"Essex County" "# Ev - Central Absentee Precinct" 1700 786 902 9 3
"Essex County" "# Pe - Central Absentee Precinct" 4 3 1 0 0
"Essex County" "## Provisional" 4 2 2 0 0
"Essex County" "101 - Greater Tappahannock" 576 251 318 6 1
"Essex County" "201 - North" 623 334 282 7 0
"Essex County" "301 - South" 858 224 632 2 0
"Essex County" "401 - Central" 689 208 470 11 0
"Fairfax City" "# Ab - Central Absentee Precinct" 1364 1135 212 15 2
"Fairfax City" "# Ev - Central Absentee Precinct" 3186 2116 1056 11 3
"Fairfax City" "# Pe - Central Absentee Precinct" 43 31 10 2 0
"Fairfax City" "## Provisional" 28 19 8 1 0
"Fairfax City" "1 - One" 885 542 338 4 1
"Fairfax City" "2 - Two" 916 488 422 5 1
"Fairfax City" "3 - Three" 1166 643 513 9 1
"Fairfax City" "4 - Four" 795 439 346 6 4
"Fairfax City" "5 - Five" 842 516 323 3 0
"Fairfax City" "6 - Six" 917 536 378 3 0
"Fairfax County" "# Ab - Central Absentee Precinct" 16901 14109 2642 133 17
"Fairfax County" "# Ab - Central Absentee Precinct" 11439 8938 2437 48 16
"Fairfax County" "# Ab - Central Absentee Precinct" 29213 24362 4571 256 24
"Fairfax County" "# Ev - Central Absentee Precinct" 31300 22291 8895 88 26
"Fairfax County" "# Ev - Central Absentee Precinct" 25837 15308 10471 49 9
"Fairfax County" "# Ev - Central Absentee Precinct" 52483 36461 15841 148 33
"Fairfax County" "# Pe - Central Absentee Precinct" 2729 2166 527 31 5
"Fairfax County" "# Pe - Central Absentee Precinct" 1656 1153 490 11 2
"Fairfax County" "# Pe - Central Absentee Precinct" 4326 3409 851 61 5
"Fairfax County" "## Provisional" 528 406 116 4 2
"Fairfax County" "## Provisional" 269 185 81 3 0
"Fairfax County" "## Provisional" 888 641 234 11 2
"Fairfax County" "104 - Chapel" 1119 662 452 5 0
"Fairfax County" "105 - Fairview" 1678 993 672 10 3
"Fairfax County" "106 - Heritage" 1242 762 468 12 0
"Fairfax County" "108 - Kings Park" 1106 635 460 9 2
"Fairfax County" "109 - Little Run" 603 377 221 5 0
"Fairfax County" "110 - North Springfield" 1737 964 761 9 3
"Fairfax County" "113 - Canterbury" 1719 1046 654 13 6
"Fairfax County" "114 - Olde Creek" 936 547 383 4 2
"Fairfax County" "115 - Ravensworth" 911 506 396 7 2
"Fairfax County" "116 - Wakefield" 1080 680 395 3 2
"Fairfax County" "117 - Woodson" 1120 623 487 7 3
"Fairfax County" "118 - Lake Braddock" 1609 1009 588 8 4
"Fairfax County" "119 - Laurel" 1730 991 731 7 1
"Fairfax County" "120 - Sideburn" 1341 705 632 2 2
"Fairfax County" "121 - Villa" 856 462 381 12 1
"Fairfax County" "123 - Robinson" 1644 950 689 5 0
"Fairfax County" "125 - Signal Hill" 1260 716 537 6 1
"Fairfax County" "126 - Bonnie Brae" 1032 637 385 8 2
"Fairfax County" "127 - Burke Centre" 1772 1129 631 10 2
"Fairfax County" "128 - Cardinal" 955 596 347 8 4
"Fairfax County" "129 - Keene Mill" 793 461 323 7 2
"Fairfax County" "130 - Terra Centre" 1112 679 424 6 3
"Fairfax County" "131 - Eagle View" 1297 726 559 8 4
"Fairfax County" "132 - Monument" 1163 742 414 7 0
"Fairfax County" "133 - Danbury" 359 229 127 3 0
"Fairfax County" "134 - University" 381 314 60 7 0
"Fairfax County" "201 - Armstrong" 1355 888 455 11 1
"Fairfax County" "202 - Flint Hill" 1317 736 577 2 2
"Fairfax County" "203 - Floris" 1616 933 674 5 4
"Fairfax County" "204 - Madison" 348 216 127 5 0
"Fairfax County" "208 - Reston #1" 1397 929 454 14 0
"Fairfax County" "209 - Reston #2" 1297 926 357 11 3
"Fairfax County" "213 - Vienna #1" 1725 1038 679 7 1
"Fairfax County" "214 - Vienna #2" 1421 844 567 8 2
"Fairfax County" "216 - Vienna #4" 682 390 285 6 1
"Fairfax County" "218 - Vienna #6" 942 550 386 4 2
"Fairfax County" "219 - Westbriar" 1376 815 554 7 0
"Fairfax County" "220 - Dogwood" 1440 934 494 10 2
"Fairfax County" "221 - Hunters Woods" 1166 745 413 7 1
"Fairfax County" "222 - Reston #3" 823 633 182 8 0
"Fairfax County" "223 - Glade" 1455 1030 415 9 1
"Fairfax County" "224 - South Lakes" 1892 1330 546 12 4
"Fairfax County" "225 - Hughes" 1349 955 381 11 2
"Fairfax County" "226 - Wolftrap" 1665 962 695 6 2
"Fairfax County" "227 - Sunrise Valley" 807 487 314 5 1
"Fairfax County" "229 - Fox Mill" 1882 1083 787 11 1
"Fairfax County" "233 - North Point" 1336 732 595 6 3
"Fairfax County" "234 - Aldrin" 1056 653 394 6 3
"Fairfax County" "235 - Frying Pan" 1171 774 388 8 1
"Fairfax County" "236 - Stuart" 616 379 232 5 0
"Fairfax County" "237 - Mcnair" 1146 789 344 9 4
"Fairfax County" "238 - Cameron Glen" 979 577 397 3 2
"Fairfax County" "240 - Colvin" 1000 507 490 3 0
"Fairfax County" "301 - Chain Bridge" 1148 569 574 4 1
"Fairfax County" "302 - Chesterbrook" 919 541 377 0 1
"Fairfax County" "303 - Churchill" 637 362 273 1 1
"Fairfax County" "304 - Cooper" 733 349 380 2 2
"Fairfax County" "305 - El Nido" 950 562 383 4 1
"Fairfax County" "306 - Great Falls" 770 329 435 3 3
"Fairfax County" "307 - Haycock" 1099 663 431 4 1
"Fairfax County" "309 - Kenmore" 1215 598 605 7 5
"Fairfax County" "310 - Kirby" 822 483 337 1 1
"Fairfax County" "311 - Langley" 798 388 405 5 0
"Fairfax County" "312 - Longfellow" 916 554 361 0 1
"Fairfax County" "314 - Mclean" 792 455 337 0 0
"Fairfax County" "315 - Pimmit" 1189 677 503 5 4
"Fairfax County" "316 - Salona #1" 348 179 167 0 2
"Fairfax County" "317 - Westhampton" 798 495 296 7 0
"Fairfax County" "318 - Westmoreland" 601 365 236 0 0
"Fairfax County" "319 - Herndon #1" 1424 837 571 12 4
"Fairfax County" "320 - Herndon #2" 1276 761 498 15 2
"Fairfax County" "321 - Clearview" 1740 979 741 18 2
"Fairfax County" "322 - Forestville" 1127 476 649 2 0
"Fairfax County" "323 - Shouse" 970 560 408 1 1
"Fairfax County" "324 - Herndon #3" 1156 715 431 9 1
"Fairfax County" "325 - Hutchison" 743 546 190 7 0
"Fairfax County" "327 - Sugarland" 1480 834 641 4 1
"Fairfax County" "328 - Hickory" 1021 494 526 1 0
"Fairfax County" "329 - Seneca" 1273 599 668 3 3
"Fairfax County" "331 - Spring Hill" 776 404 370 0 2
"Fairfax County" "332 - Coates" 1359 893 448 15 3
"Fairfax County" "333 - Salona #2" 674 389 281 3 1
"Fairfax County" "401 - Bush Hill" 1493 910 575 4 4
"Fairfax County" "402 - Cameron" 527 365 160 1 1
"Fairfax County" "403 - Forestdale" 522 331 185 5 1
"Fairfax County" "404 - Franconia" 1379 895 477 7 0
"Fairfax County" "405 - Groveton" 658 463 190 5 0
"Fairfax County" "406 - Hayfield" 1161 657 497 6 1
"Fairfax County" "408 - Mount Eagle" 977 731 232 12 2
"Fairfax County" "409 - Pioneer" 1333 827 500 4 2
"Fairfax County" "410 - Rose Hill" 1786 1064 713 6 3
"Fairfax County" "411 - Virginia Hills" 982 633 338 9 2
"Fairfax County" "413 - Fairfield" 729 569 156 3 1
"Fairfax County" "415 - Crestwood" 1146 644 486 12 4
"Fairfax County" "417 - Garfield" 1334 811 515 8 0
"Fairfax County" "418 - Lynbrook" 763 457 303 2 1
"Fairfax County" "419 - Lane #1" 451 310 139 2 0
"Fairfax County" "420 - Villages" 1697 1091 595 9 2
"Fairfax County" "421 - Kingstowne" 1271 823 437 10 1
"Fairfax County" "422 - Van Dorn" 1333 899 421 12 1
"Fairfax County" "423 - Clermont" 1173 716 449 7 1
"Fairfax County" "424 - Huntley" 1155 739 412 4 0
"Fairfax County" "426 - Greenspring" 970 674 292 2 2
"Fairfax County" "427 - Island Creek" 1182 784 394 1 3
"Fairfax County" "428 - Pinewood" 900 690 197 11 2
"Fairfax County" "429 - Hybla Valley" 950 720 217 11 2
"Fairfax County" "430 - Lane #2" 864 581 275 8 0
"Fairfax County" "501 - Baileys #1" 720 488 227 5 0
"Fairfax County" "502 - Barcroft" 565 366 197 2 0
"Fairfax County" "503 - Belvedere" 600 385 210 3 2
"Fairfax County" "504 - Bristow" 921 564 348 7 2
"Fairfax County" "505 - Glen Forest" 1026 676 338 12 0
"Fairfax County" "506 - Holmes #1" 186 121 64 1 0
"Fairfax County" "507 - Lincolnia" 1109 752 351 5 1
"Fairfax County" "508 - Masonville" 1134 697 430 6 1
"Fairfax County" "509 - Plaza" 501 395 102 4 0
"Fairfax County" "510 - Parklawn" 810 497 309 2 2
"Fairfax County" "511 - Ravenwood" 999 636 348 12 3
"Fairfax County" "512 - Sleepy Hollow" 645 395 249 1 0
"Fairfax County" "513 - Saint Albans" 74 52 21 1 0
"Fairfax County" "513 - Saint Albans" 879 544 329 4 2
"Fairfax County" "514 - Crossroads" 406 323 82 1 0
"Fairfax County" "515 - Westlawn" 641 394 244 3 0
"Fairfax County" "516 - Weyanoke #1" 573 321 246 6 0
"Fairfax County" "517 - Willston" 596 370 222 2 2
"Fairfax County" "518 - Columbia" 972 566 398 7 1
"Fairfax County" "519 - Hummer" 769 446 319 4 0
"Fairfax County" "520 - Skyline" 716 531 183 2 0
"Fairfax County" "521 - Brook Hill" 836 452 379 4 1
"Fairfax County" "522 - Camelot #1" 188 110 77 1 0
"Fairfax County" "523 - Poe" 960 546 406 6 2
"Fairfax County" "525 - Walnut Hill" 1217 714 491 9 3
"Fairfax County" "526 - Bren Mar" 1342 931 400 9 2
