COUNTY AREA TOTAL DEM REP CST GRE LIB (Write-In) (Miscellaneous)
CHATHAM PIT113 0 3729 2524 3 20 59 0 16
CHEROKEE ANNW 0 269 871 4 5 3 0 1
CHEROKEE ANSW 0 250 858 2 1 7 0 2
CHEROKEE BELL 0 217 745 1 1 8 0 0
CHEROKEE BRAS 0 187 522 1 2 2 0 1
CHEROKEE CSON 0 134 547 2 2 3 0 0
CHEROKEE GCRK 0 43 321 1 3 3 0 0
CHEROKEE HANG 0 87 498 2 1 9 0 0
CHEROKEE HIWA 0 342 1185 2 1 7 0 1
CHEROKEE HOTH 0 231 871 2 4 6 0 2
CHEROKEE MARB 0 166 845 5 5 6 0 0
CHEROKEE MURN 0 431 1122 2 9 8 0 8
CHEROKEE MURS 0 419 1317 2 5 16 0 5
CHEROKEE PCHT 0 361 1305 7 3 10 0 3
CHEROKEE RGER 0 307 991 4 5 6 0 5
CHEROKEE TOPT 0 48 279 0 1 1 0 0
CHEROKEE UNKA 0 91 351 2 1 0 0 1
CHOWAN 1 0 937 509 1 3 9 0 1
CHOWAN 2 0 1128 1260 4 1 18 1 1
CHOWAN 3 0 217 1067 0 1 8 0 0
CHOWAN 4 0 325 354 0 2 3 0 0
CHOWAN 5 0 157 567 0 0 4 0 0
CHOWAN 6 0 483 714 0 0 5 0 4
CLAY BRAS 0 182 456 2 1 3 0 3
CLAY HAY1 0 238 693 1 2 5 0 1
CLAY HAY2 0 305 786 3 4 8 0 1
CLAY HAYC 0 86 251 2 0 3 0 1
CLAY HIAW 0 314 828 2 3 10 0 3
CLAY SHCR 0 180 788 0 3 8 0 2
CLAY SWEE 0 139 425 0 0 2 0 0
CLAY TUSQ 0 131 425 1 0 5 0 0
CLAY WARN 0 124 460 0 1 2 0 0
CLEVELAND BETHWR 0 324 1138 1 3 12 0 2
CLEVELAND BR 0 987 2666 8 5 22 0 4
CLEVELAND CASAR 0 101 1032 2 3 8 0 4
CLEVELAND FALSTN 0 189 1043 0 0 4 0 0
CLEVELAND GROVER 0 589 1869 1 4 12 0 5
CLEVELAND KINGST 0 432 264 0 3 3 0 1
CLEVELAND "KM N" 0 1233 2407 13 8 27 0 4
CLEVELAND "KM S" 0 1218 2148 1 8 25 0 6
CLEVELAND LATT 0 445 1680 2 3 11 0 1
CLEVELAND LAWNDL 0 563 790 1 2 5 0 1
CLEVELAND MRB-YO 0 221 968 2 2 9 0 1
CLEVELAND MULLS 0 244 1295 5 2 7 0 3
CLEVELAND OAKGRV 0 575 2227 3 1 28 0 2
CLEVELAND POLKVL 0 330 1576 1 3 3 0 2
CLEVELAND RIPPY 0 851 1921 5 2 20 0 1
CLEVELAND "S 4A" 0 1629 1827 7 6 22 0 11
CLEVELAND "S 5" 0 963 1066 2 0 17 0 4
CLEVELAND "S C" 0 2658 2325 13 7 46 0 7
CLEVELAND "S S" 0 2057 2315 4 13 23 0 6
CLEVELAND SHANGI 0 568 1517 1 1 13 0 4
CLEVELAND WACO 0 778 1724 2 5 12 0 2
COLUMBUS P01A 0 431 750 3 2 3 0 1
COLUMBUS P02B 0 404 326 2 1 2 0 0
COLUMBUS P03 0 90 305 0 0 0 0 0
COLUMBUS P04 0 93 167 0 2 0 0 0
COLUMBUS P05 0 55 263 0 0 0 0 0
COLUMBUS P06 0 152 532 1 0 1 0 0
COLUMBUS P07 0 1040 1137 0 2 7 0 2
COLUMBUS P08 0 20 292 0 0 2 0 0
COLUMBUS P09 0 359 388 2 2 2 0 0
COLUMBUS P10 0 51 587 0 0 0 0 1
COLUMBUS P11 0 118 517 1 1 2 0 0
COLUMBUS P12 0 28 150 0 0 0 0 0
COLUMBUS P13 0 73 401 1 0 4 0 1
COLUMBUS P14 0 1165 1475 7 2 8 0 7
COLUMBUS P15 0 654 953 1 1 8 0 0
COLUMBUS P16B 0 382 864 2 1 4 0 3
COLUMBUS P17 0 515 306 0 0 2 0 1
COLUMBUS P18 0 142 257 1 1 0 0 0
COLUMBUS P19 0 836 867 2 1 10 0 0
COLUMBUS P20A 0 332 214 2 2 4 0 0
COLUMBUS P21 0 270 603 2 0 11 0 1
COLUMBUS P22A 0 442 1036 1 0 5 0 0
COLUMBUS P23 0 638 893 1 0 8 0 1
COLUMBUS P24 0 150 1333 0 1 1 0 2
COLUMBUS P25B 0 79 910 1 0 2 0 1
COLUMBUS P26B 0 927 1306 3 4 2 0 3
CRAVEN 02 0 2385 3877 11 9 135 0 14
CRAVEN 03 0 928 2043 2 4 26 0 9
CRAVEN 05 0 736 1258 5 5 19 0 4
CRAVEN 07 0 729 1144 0 3 17 0 2
CRAVEN 11 0 502 1640 4 1 23 0 1
CRAVEN 16 0 991 2087 3 3 53 0 6
CRAVEN 17 0 484 1323 2 9 35 0 3
CRAVEN 19 0 1040 1186 4 6 28 0 4
CRAVEN 20 0 931 1656 4 2 18 0 4
CRAVEN 21 0 740 1773 4 4 17 0 2
CRAVEN 23 0 1601 2678 3 5 44 0 7
CRAVEN CFB8 0 386 759 3 4 11 0 1
CRAVEN CLR4 0 828 908 4 1 29 0 5
CRAVEN DFB9 0 291 378 2 0 3 0 0
CRAVEN N1 0 934 616 0 4 15 0 4
CRAVEN N2 0 1166 352 1 4 7 0 2
CRAVEN N3N5 0 1509 1121 5 7 32 0 8
CRAVEN N4 0 1946 1411 7 7 44 0 8
CRAVEN N6 0 1677 1943 5 8 37 0 6
CRAVEN TE13 0 151 814 1 0 13 0 0
CRAVEN VE14 0 1193 2065 3 6 20 0 4
CUMBERLAND AH49 0 1655 688 1 8 24 0 4
CUMBERLAND AL51 0 1345 2776 5 7 41 1 12
CUMBERLAND CC01 0 1329 208 2 4 8 0 3
CUMBERLAND CC03 0 611 305 3 6 19 0 3
CUMBERLAND CC04 0 506 358 3 2 13 0 1
CUMBERLAND CC06 0 430 435 2 3 13 0 4
CUMBERLAND CC07 0 362 428 4 2 14 0 5
CUMBERLAND CC08 0 446 650 0 2 9 0 5
CUMBERLAND CC10 0 478 324 4 3 7 1 5
CUMBERLAND CC12 0 457 938 1 2 14 0 5
CUMBERLAND CC13 0 994 78 2 5 8 0 2
CUMBERLAND CC14 0 907 1135 3 3 28 0 7
CUMBERLAND CC15 0 893 1137 4 5 21 0 6
CUMBERLAND CC16 0 1381 55 3 5 2 0 3
CUMBERLAND CC17 0 1420 221 0 7 8 0 2
CUMBERLAND CC18 0 463 750 0 0 9 0 3
CUMBERLAND CC21 0 1628 705 2 5 34 0 3
CUMBERLAND CC24 0 642 344 1 1 14 0 2
CUMBERLAND CC25 0 838 524 2 6 19 0 4
CUMBERLAND CC26 0 1828 559 2 10 37 0 8
CUMBERLAND CC27 0 1971 640 5 6 43 0 5
CUMBERLAND CC29 0 1024 459 6 5 18 0 4
CUMBERLAND CC31 0 745 573 3 4 11 0 3
CUMBERLAND CC32 0 694 175 1 1 14 0 3
CUMBERLAND CC33 0 1142 592 3 5 22 0 4
CUMBERLAND CC34 0 743 897 2 3 29 0 11
CUMBERLAND CC519 0 1542 215 9 8 18 0 7
CUMBERLAND CL57-1 0 1670 612 6 7 32 0 2
CUMBERLAND CL57-2 0 1829 467 4 4 24 2 1
CUMBERLAND CU02 0 767 593 1 6 11 0 2
CUMBERLAND EO61-1 0 837 1543 8 5 14 0 4
CUMBERLAND EO61-2 0 639 996 2 3 17 0 2
CUMBERLAND G10A 0 1942 1918 8 11 42 0 8
CUMBERLAND G10B 0 1146 990 3 6 28 0 4
CUMBERLAND G10C 0 1308 1705 3 8 30 0 4
CUMBERLAND G11B 0 862 884 4 9 77 0 10
CUMBERLAND G1A 0 1005 515 1 4 11 0 3
CUMBERLAND G1B 0 1279 1886 8 5 30 0 6
CUMBERLAND G2A 0 2341 978 5 13 24 2 5
CUMBERLAND G2B 0 1964 1097 5 7 44 0 9
CUMBERLAND G2C-1 0 1312 841 3 11 31 0 6
CUMBERLAND G2C-2 0 1093 916 3 8 21 0 7
CUMBERLAND G2D 0 1798 1413 5 8 29 0 10
CUMBERLAND G2E-1 0 1175 331 3 3 12 0 5
CUMBERLAND G2E-2 0 1469 286 3 8 20 0 6
CUMBERLAND G3A-1 0 1877 795 3 9 19 0 7
CUMBERLAND G3A-2 0 1007 795 1 9 18 0 2
CUMBERLAND G3B 0 447 389 5 1 3 0 2
CUMBERLAND G3C 0 407 592 1 0 12 0 1
CUMBERLAND G4A 0 619 457 3 6 12 0 2
CUMBERLAND G4B 0 609 703 2 5 12 0 3
CUMBERLAND G4C 0 953 372 3 6 19 0 2
CUMBERLAND G5A-1 0 1420 446 8 13 8 0 0
CUMBERLAND G5A-2 0 1103 677 4 3 16 0 4
CUMBERLAND G5B-1 0 1854 296 3 4 21 0 2
CUMBERLAND G5B-2 0 1347 355 1 5 14 1 6
CUMBERLAND G5C 0 1008 480 3 9 20 0 2
CUMBERLAND G6A 0 1009 2627 5 7 25 0 6
CUMBERLAND G6B 0 204 707 1 1 5 0 1
CUMBERLAND G6C 0 531 939 1 2 14 0 2
CUMBERLAND G7A 0 267 729 1 1 6 0 0
CUMBERLAND G7B 0 242 716 1 1 8 0 2
CUMBERLAND G8A 0 1706 1012 3 6 44 0 6
CUMBERLAND G8B 0 1042 875 3 5 40 0 5
CUMBERLAND G8C 0 971 678 3 9 18 0 4
CUMBERLAND G8D 0 1010 1105 5 7 28 0 9
CUMBERLAND G9A 0 1086 1010 1 5 26 0 5
CUMBERLAND G9B-1 0 1579 1660 2 6 30 0 6
CUMBERLAND G9B-2 0 1708 1774 5 9 34 1 7
CUMBERLAND LI65 0 884 1797 2 3 34 0 2
CUMBERLAND LR63 0 2438 748 10 15 45 0 4
CUMBERLAND MB62 0 1539 409 4 4 22 0 2
CUMBERLAND MR02 0 1359 687 3 11 26 0 6
CUMBERLAND SH77 0 921 1249 3 4 15 0 3
CUMBERLAND SL78-3 0 2412 813 6 13 57 0 8
CURRITUCK ABSENTEE 0 795 669 2 3 22 0 5
CURRITUCK CB 0 31 76 0 0 3 0 1
CURRITUCK CH 0 87 616 2 2 20 0 1
CURRITUCK CI 0 16 100 0 0 0 0 0
CURRITUCK CJ 0 34 121 1 0 6 0 1
CURRITUCK GW 0 25 180 0 0 3 0 2
CURRITUCK IR 0 45 281 1 0 3 0 0
CURRITUCK KI 0 77 536 2 0 5 0 0
CURRITUCK MY 0 191 1190 2 5 35 0 3
CURRITUCK "ONE STOP" 0 2391 6290 9 12 84 0 17
CURRITUCK PB 0 193 798 3 5 11 0 1
CURRITUCK PP 0 149 499 2 0 12 0 1
CURRITUCK PROVISIONAL 0 7 32 0 0 0 0 0
CURRITUCK TRANSFER 0 0 0 0 0 0 0 0
CURRITUCK WH 0 154 269 0 2 5 0 1
DARE ABSENTEE 0 2635 1193 7 10 32 0 16
DARE AVON 0 44 166 1 3 3 0 0
DARE BUX 0 33 135 1 0 4 0 0
DARE CHCA 0 113 137 0 2 9 0 0
DARE COL 0 112 349 1 2 14 0 1
DARE DUCK 0 71 135 0 0 3 0 1
DARE EL 0 9 38 0 0 1 0 0
DARE FRCO 0 33 96 0 0 2 0 1
DARE HAT 0 48 149 0 0 2 0 2
DARE KDH 0 187 436 2 4 19 0 5
DARE KTHK 0 116 440 0 3 4 0 1
DARE MATO 0 127 333 4 2 12 0 3
DARE MH 0 35 171 1 0 4 0 0
DARE NGHD 0 120 301 2 0 5 0 2
DARE "ONE STOP ONE" 0 3464 5073 5 10 50 0 17
DARE "ONE STOP THREE" 0 1968 2889 4 3 27 0 3
DARE "ONE STOP TWO" 0 673 1114 1 3 14 0 1
DARE PROVISIONAL 0 5 13 0 1 0 0 0
DARE SOSH 0 102 359 1 3 14 0 2
DARE STPT 0 9 67 0 1 1 0 0
DARE TRANSFER 0 0 0 0 0 0 0 0
DARE WAN 0 32 344 1 0 3 0 2
DAVIDSON 04 0 853 3100 9 6 28 0 6
DAVIDSON 06 0 231 1792 3 7 13 0 1
DAVIDSON 08 0 153 523 4 5 6 0 2
DAVIDSON 10 0 306 1391 8 3 11 0 3
DAVIDSON 12 0 89 490 1 1 8 0 0
DAVIDSON 14 0 132 1241 5 2 12 0 0
DAVIDSON 16 0 289 1801 7 5 24 0 4
DAVIDSON 18 0 168 1256 5 2 8 0 2
DAVIDSON 20 0 205 1656 7 1 24 0 1
DAVIDSON 22 0 114 515 2 1 9 0 1
DAVIDSON 24 0 190 753 2 2 5 0 0
DAVIDSON 26 0 206 613 2 2 8 0 3
DAVIDSON 28 0 423 1315 3 2 19 0 4
DAVIDSON 30 0 788 196 5 7 11 0 2
DAVIDSON 32 0 370 322 3 2 4 0 1
DAVIDSON 34 0 469 571 2 2 14 0 1
DAVIDSON 36 0 369 307 2 1 7 0 0
DAVIDSON 38 0 455 167 3 4 8 0 1
DAVIDSON 40 0 500 624 2 5 11 0 1
DAVIDSON 42 0 153 1547 5 3 6 0 2
DAVIDSON 44 0 592 2102 4 7 18 0 4
DAVIDSON 46 0 319 1519 2 4 10 0 1
DAVIDSON 48 0 226 1506 4 2 10 0 4
DAVIDSON 50 0 280 2218 7 5 15 0 2
DAVIDSON 52 0 425 2637 6 6 29 0 6
DAVIDSON 54 0 77 1232 0 5 4 0 2
DAVIDSON 56 0 93 873 3 2 4 0 0
DAVIDSON 58 0 342 1851 3 5 20 0 3
DAVIDSON 60 0 830 1776 1 10 28 0 4
DAVIDSON 62 0 512 264 0 5 7 0 4
DAVIDSON 64 0 533 218 0 4 3 0 2
DAVIDSON 66 0 365 570 2 2 5 0 3
DAVIDSON 68 0 471 704 1 2 8 0 1
DAVIDSON 70 0 260 1370 2 0 11 0 2
DAVIDSON 72 0 310 1701 3 2 15 0 2
DAVIDSON 74 0 303 2149 4 3 15 0 2
DAVIDSON 76 0 269 1844 4 4 18 0 4
DAVIDSON 78 0 320 1954 7 3 14 0 0
DAVIDSON 80A 0 492 3079 10 4 32 0 3
DAVIDSON 82 0 304 1682 3 6 20 0 6
DAVIDSON 84 0 825 2851 3 5 30 0 8
DAVIDSON 86A 0 759 1372 3 7 28 0 2
DAVIDSON 88 0 360 1203 4 5 12 0 3
DAVIDSON ABSENTEE 0 6173 5951 28 24 106 0 34
DAVIDSON "OS ARCADIA COMM BLDG" 0 0 0 0 0 0 0 0
DAVIDSON "OS BOE" 0 0 0 0 0 0 0 0
DAVIDSON "OS DENTON LIBRARY" 0 0 0 0 0 0 0 0
DAVIDSON "OS MIDWAY FIRE DEPT" 0 0 0 0 0 0 0 0
DAVIDSON "OS TLIB" 0 0 0 0 0 0 0 0
DAVIDSON PROVISIONAL 0 54 125 1 0 0 0 1
DAVIDSON TRANSFER 0 679 1727 4 2 5 0 3
DAVIE 01 0 159 662 2 1 7 0 3
DAVIE 02 0 156 634 1 1 8 0 1
DAVIE 03 0 309 1583 4 6 19 0 2
DAVIE 04 0 241 877 1 3 10 0 1
DAVIE 05 0 345 1481 1 3 9 0 8
DAVIE 06 0 229 957 1 2 10 0 1
DAVIE 07 0 275 1122 2 4 9 0 2
DAVIE 08 0 628 925 5 9 10 0 3
DAVIE 09 0 461 1128 0 3 21 0 7
DAVIE 10 0 404 1410 1 2 15 0 5
DAVIE 11 0 214 1041 2 0 9 0 0
DAVIE 12 0 631 2103 3 5 27 0 4
DAVIE 13 0 585 1596 4 4 17 0 7
DAVIE 14 0 378 1275 1 2 7 0 7
DAVIE ABSENTEE 0 1681 1385 4 8 35 0 21
DAVIE PROVISIONAL 0 17 49 0 0 0 0 0
DAVIE TRANSFER 0 0 0 0 0 0 0 0
DUPLIN ABSENTEE 0 1185 655 3 6 7 0 4
DUPLIN ALBE 0 85 370 1 1 7 0 0
DUPLIN BEUL 0 95 467 0 0 2 0 2
DUPLIN CALY 0 77 247 0 0 0 0 2
DUPLIN CFRK 0 15 263 0 0 4 0 0
DUPLIN CHAR 0 122 78 0 0 0 0 0
DUPLIN CHIN 0 35 196 1 1 2 0 1
DUPLIN CYCK 0 41 364 0 0 2 0 0
DUPLIN FAIS 0 91 198 0 0 3 0 0
DUPLIN GLIS 0 28 237 1 0 0 0 0
DUPLIN HALL 0 66 161 0 1 2 0 0
DUPLIN KENA 0 94 171 0 2 4 0 0
DUPLIN LOCK 0 10 52 0 0 0 0 0
DUPLIN MAGN 0 126 127 0 1 1 0 0
DUPLIN "OS KENANSVILLE" 0 2496 4899 6 5 17 0 7
DUPLIN "OS WALLACE" 0 2273 3067 3 6 19 0 4
DUPLIN "OS WARSAW" 0 1298 964 1 5 7 0 1
DUPLIN PROVISIONAL 0 34 42 0 0 0 0 0
DUPLIN ROCK 0 39 79 0 0 0 0 0
DUPLIN ROSE 0 106 197 0 0 0 0 0
DUPLIN SMCA 0 42 212 1 0 3 0 0
DUPLIN TRANSFER 0 0 0 0 0 0 0 0
DUPLIN WALL 0 129 174 0 1 3 0 0
DUPLIN WARS 0 207 131 0 4 1 0 0
DUPLIN WOLF 0 73 442 0 0 0 0 0
DURHAM 01 0 114 19 1 1 0 0 1
DURHAM 02 0 144 40 0 0 4 0 2
DURHAM 03 0 116 43 1 0 3 0 3
DURHAM 04 0 103 34 1 1 5 0 1
DURHAM 05 0 174 36 0 1 3 0 2
DURHAM 06 0 97 24 0 0 2 0 2
DURHAM 07 0 86 29 1 2 2 0 2
DURHAM 08 0 165 34 0 0 6 0 3
DURHAM 09 0 123 48 0 1 3 1 1
DURHAM 10 0 163 25 1 1 4 0 2
DURHAM 12 0 96 11 0 1 3 0 2
DURHAM 13 0 159 8 0 2 1 0 1
DURHAM 14 0 182 25 1 0 1 0 3
DURHAM 15 0 150 24 0 1 1 0 2
DURHAM 16 0 96 47 0 2 2 0 1
DURHAM 17 0 177 28 0 4 3 0 1
DURHAM 18 0 201 31 1 1 4 0 1
DURHAM 19 0 204 65 0 4 5 0 0
DURHAM 20 0 81 20 0 1 2 0 2
DURHAM 21 0 95 42 0 2 2 0 1
DURHAM 22 0 381 49 1 4 5 0 2
DURHAM 23 0 331 85 0 3 6 0 2
DURHAM 24 0 176 142 1 3 10 0 1
DURHAM 25 0 74 129 0 2 7 0 2
DURHAM 26 0 75 217 0 1 2 0 2
DURHAM 27 0 99 79 1 2 3 0 1
DURHAM 28 0 101 406 2 0 8 0 1
DURHAM 29 0 178 174 0 2 1 0 0
DURHAM 30-1 0 240 154 1 5 9 0 4
DURHAM 30-2 0 239 97 1 1 7 0 1
DURHAM 31 0 233 198 0 1 13 0 9
DURHAM 32 0 60 143 0 0 8 0 1
DURHAM 33 0 304 212 1 3 16 1 4
DURHAM 34-1 0 134 47 1 1 4 0 1
DURHAM 34-2 0 291 67 1 0 7 0 0
DURHAM 35.3 0 199 178 3 3 12 0 4
DURHAM 36 0 194 48 0 2 7 0 1
DURHAM 37 0 151 227 2 2 4 0 1
DURHAM 38 0 270 101 1 2 7 0 2
DURHAM 39 0 116 136 1 2 0 0 3
DURHAM 40 0 96 27 1 0 1 0 3
DURHAM 41 0 151 12 0 0 1 0 1
DURHAM 42 0 126 8 1 0 2 0 2
DURHAM 43 0 153 130 2 1 6 0 7
DURHAM 44 0 121 157 3 1 4 0 3
DURHAM 45 0 139 168 0 1 10 0 2
DURHAM 46 0 226 77 1 2 1 0 1
DURHAM 47 0 135 22 0 1 1 0 3
DURHAM 48 0 55 26 1 1 6 0 1
DURHAM 50 0 190 131 0 1 12 0 3
DURHAM 51 0 131 89 0 1 11 0 3
DURHAM 52 0 222 49 1 0 1 0 1
DURHAM 53-1 0 110 84 2 1 5 0 3
DURHAM 53-2 0 122 95 1 1 7 0 3
DURHAM 54 0 301 100 0 7 13 0 3
DURHAM 55-11 0 188 10 1 0 1 0 1
DURHAM 55-49 0 101 1 0 0 0 0 0
DURHAM ABSENTEE 0 41458 5420 53 146 381 3 171
DURHAM "OS CJRC" 0 5179 371 7 18 23 2 9
DURHAM "OS DTM" 0 2388 242 0 6 20 0 6
DURHAM "OS DUKE" 0 11188 1283 7 35 103 0 36
DURHAM "OS ENO" 0 6867 1297 5 21 56 0 17
DURHAM "OS ERL" 0 6677 3368 11 26 110 0 21
DURHAM "OS GETG" 0 2660 206 4 6 11 0 3
DURHAM "OS HVBC" 0 8582 2613 13 26 99 2 27
DURHAM "OS ML" 0 8032 580 8 26 54 0 18
DURHAM "OS MSUMC" 0 4440 4232 7 13 66 0 18
DURHAM "OS NCCU" 0 7213 156 4 23 27 0 13
DURHAM "OS NRL" 0 8472 3342 14 22 87 0 15
DURHAM "OS SHS" 0 6532 1279 10 16 34 2 16
DURHAM "OS SRL" 0 10797 2107 13 37 99 1 21
DURHAM "OS TRC" 0 4776 1152 10 12 54 0 17
DURHAM PROVISIONAL 0 288 103 2 4 6 0 3
DURHAM TRANSFER 0 0 0 0 0 0 0 0
EDGECOMBE 0101 0 144 41 0 2 3 0 1
EDGECOMBE 0102 0 168 160 0 1 4 0 0
EDGECOMBE 0103 0 119 193 0 0 1 0 0
EDGECOMBE 0104 0 90 120 0 0 5 0 0
EDGECOMBE 0201 0 112 149 0 0 3 0 1
EDGECOMBE 0301 0 50 63 0 0 1 0 0
EDGECOMBE 0401 0 52 60 0 0 0 0 0
EDGECOMBE 0501 0 67 96 0 0 0 0 0
EDGECOMBE 0601 0 158 83 0 0 1 0 0
EDGECOMBE 0701 0 183 89 0 0 2 0 0
EDGECOMBE 0801 0 52 202 2 1 0 0 0
EDGECOMBE 0901 0 49 263 0 0 2 0 0
EDGECOMBE 1001 0 107 137 1 1 4 0 0
EDGECOMBE 1101 0 40 204 0 1 1 0 0
EDGECOMBE 1201 0 319 23 1 1 1 0 1
EDGECOMBE 1202 0 195 5 1 0 1 0 0
EDGECOMBE 1203 0 150 279 1 1 3 0 0
EDGECOMBE 1204 0 165 12 0 1 0 0 1
EDGECOMBE 1205 0 105 6 1 0 2 0 0
EDGECOMBE 1301 0 42 192 0 0 1 0 1
EDGECOMBE 1401 0 25 196 0 0 0 0 0
EDGECOMBE ABSENTEE 0 1810 549 3 4 10 0 3
EDGECOMBE "DET OF SOCIAL SERVICES" 0 6035 1148 8 8 10 1 7
EDGECOMBE "PINES CHAP FELLSHIP HALL" 0 1179 1604 1 1 13 0 1
EDGECOMBE PROVISIONAL 0 50 37 0 0 2 0 0
EDGECOMBE "TARBORO 1" 0 4623 3295 8 11 27 0 8
EDGECOMBE TRANSFER 0 0 0 0 0 0 0 0
FORSYTH 011 0 1793 2145 3 5 51 0 12
FORSYTH 012 0 560 1594 3 3 18 0 3
FORSYTH 013 0 1404 1856 6 4 24 0 10
FORSYTH 014 0 668 1230 5 2 13 0 4
FORSYTH 015 0 1063 1421 1 5 29 0 4
FORSYTH 021 0 722 2298 2 4 23 0 3
FORSYTH 031 0 668 993 3 2 11 0 3
FORSYTH 032 0 1006 1446 7 9 23 0 3
FORSYTH 033 0 1147 774 2 3 11 0 4
FORSYTH 034 0 671 1120 2 4 9 0 2
FORSYTH 042 0 1568 1246 3 10 20 1 5
FORSYTH 043 0 1001 1141 5 9 20 0 6
FORSYTH 051 0 1070 1424 7 6 32 0 8
FORSYTH 052 0 494 556 2 2 9 0 5
FORSYTH 053 0 845 1385 5 2 24 0 8
FORSYTH 054 0 982 1240 1 2 14 0 6
FORSYTH 055 0 1438 1736 4 7 36 0 6
FORSYTH 061 0 749 993 6 4 14 0 6
FORSYTH 062 0 590 1033 0 2 28 0 3
FORSYTH 063 0 1131 2079 2 4 30 0 7
FORSYTH 064 0 417 615 1 1 11 0 1
FORSYTH 065 0 1319 1986 6 4 36 0 8
FORSYTH 066 0 633 1319 2 3 13 0 4
FORSYTH 067 0 670 806 0 4 11 0 4
FORSYTH 068 0 783 1488 3 3 22 0 9
FORSYTH 071 0 1387 1719 3 7 28 0 15
FORSYTH 072 0 2159 2627 6 12 47 0 14
FORSYTH 073 0 924 1767 4 6 26 0 6
FORSYTH 074 0 1533 1324 5 8 28 0 10
FORSYTH 075 0 189 409 1 2 14 0 2
FORSYTH 081 0 1676 936 1 7 22 0 7
FORSYTH 082 0 2090 1653 5 11 26 0 6
FORSYTH 083 0 1086 621 2 3 12 0 2
FORSYTH 091 0 457 1261 3 2 22 0 2
FORSYTH 092 0 369 1078 0 3 14 0 2
FORSYTH 101 0 958 739 4 9 12 0 5
FORSYTH 111 0 358 1109 3 2 13 0 6
FORSYTH 112 0 816 1724 3 8 12 0 3
FORSYTH 122 0 3140 1879 10 14 43 1 16
FORSYTH 123 0 1359 1118 3 6 25 0 8
FORSYTH 131 0 1349 1466 3 6 33 0 16
FORSYTH 132 0 1719 1839 8 4 46 0 12
FORSYTH 133 0 2258 2847 6 8 43 0 22
FORSYTH 201 0 2564 442 7 6 19 0 7
FORSYTH 203 0 1082 44 1 4 8 0 1
FORSYTH 204 0 985 78 2 7 10 0 2
FORSYTH 205 0 543 31 1 1 4 0 2
FORSYTH 206 0 1054 126 2 1 8 0 2
FORSYTH 207 0 1427 288 3 7 12 0 7
FORSYTH 301 0 539 21 2 3 3 0 1
FORSYTH 302 0 629 48 0 1 3 0 1
FORSYTH 303 0 444 13 0 1 0 0 0
FORSYTH 304 0 1374 44 3 5 1 1 4
FORSYTH 305 0 1000 45 2 6 5 0 2
FORSYTH 306 0 855 155 0 4 7 0 6
FORSYTH 401 0 1134 121 1 6 7 0 3
FORSYTH 402 0 800 25 2 2 1 0 2
FORSYTH 403 0 980 87 1 7 2 0 3
FORSYTH 404 0 1586 270 3 5 20 0 8
FORSYTH 405 0 1092 31 2 0 2 0 4
FORSYTH 501 0 1399 148 2 5 4 0 1
FORSYTH 502 0 898 64 1 2 1 0 3
FORSYTH 503 0 793 168 2 6 5 0 3
FORSYTH 504 0 688 141 2 5 3 0 4
FORSYTH 505 0 997 315 1 4 3 0 7
FORSYTH 506 0 789 452 0 1 11 1 5
FORSYTH 507 0 2418 1475 3 20 49 0 10
FORSYTH 601 0 1022 274 3 7 5 0 5
FORSYTH 602 0 2172 1201 6 5 41 1 5
FORSYTH 603 0 1260 313 4 10 9 0 6
FORSYTH 604 0 1006 235 2 2 12 0 2
FORSYTH 605 0 1866 836 2 12 22 0 8
FORSYTH 606 0 868 405 0 9 10 0 3
FORSYTH 607 0 1235 651 6 2 19 0 4
FORSYTH 701 0 744 462 3 3 12 0 6
FORSYTH 702 0 899 335 2 5 15 0 5
FORSYTH 703 0 781 271 1 6 10 0 4
FORSYTH 704 0 1152 410 2 7 30 0 7
FORSYTH 705 0 1226 597 1 6 15 0 5
FORSYTH 706 0 627 372 4 3 8 0 1
FORSYTH 707 0 734 407 3 2 8 0 3
FORSYTH 708 0 2039 1388 3 10 26 0 8
FORSYTH 709 0 1611 898 5 4 26 0 3
FORSYTH 801 0 740 379 1 3 10 0 6
FORSYTH 802 0 808 563 0 3 10 0 7
FORSYTH 803 0 786 719 2 1 14 0 8
FORSYTH 804 0 627 444 3 1 16 0 4
FORSYTH 805 0 1222 832 7 3 19 0 9
FORSYTH 806 0 863 735 3 8 18 0 7
FORSYTH 807 0 871 760 1 4 14 0 8
FORSYTH 808 0 1833 800 3 7 25 0 5
FORSYTH 809 0 1381 956 3 7 30 0 11
FORSYTH 901 0 1071 463 4 4 16 1 7
FORSYTH 902 0 1274 257 1 4 14 0 2
FORSYTH 903 0 1432 551 2 4 17 0 8
FORSYTH 904 0 1335 369 2 5 16 0 7
FORSYTH 905 0 1536 518 3 2 22 0 12
FORSYTH 906 0 1706 942 9 7 25 0 10
FORSYTH 907 0 1018 505 8 6 24 0 5
FORSYTH 908 0 1321 1066 3 5 28 0 12
FORSYTH 909 0 678 478 2 1 13 0 6
FRANKLIN 01 0 897 471 2 5 8 0 1
FRANKLIN 02 0 655 530 2 3 11 0 3
FRANKLIN 03 0 1402 1555 7 4 30 0 5
FRANKLIN 05 0 656 1246 0 5 16 0 4
FRANKLIN 06 0 676 606 4 4 9 0 2
FRANKLIN 07 0 378 1061 1 1 12 0 3
