COUNTY AREA TOTAL DEM REP LIB IND GRN OTH
"Chesapeake City" "9 - Bells Mill" 2898 900 1835 101 28 16 18
"Chesapeake City" "10 - Oscar Smith" 883 390 424 48 10 4 7
"Chesapeake City" "11 - Geneva Park" 1520 606 834 56 9 8 7
"Chesapeake City" "12 - Georgetown" 1420 1170 211 17 6 10 6
"Chesapeake City" "13 - Gilmerton" 1535 622 817 54 22 14 6
"Chesapeake City" "14 - Grassfield" 497 159 317 8 6 2 5
"Chesapeake City" "15 - B M Williams" 1597 909 606 43 18 18 3
"Chesapeake City" "16 - Hickory Grove" 1887 446 1358 49 17 11 6
"Chesapeake City" "17 - Indian Creek" 1284 255 964 41 8 9 7
"Chesapeake City" "18 - Indian River" 1344 820 426 63 18 13 4
"Chesapeake City" "19 - Jolliff" 0 0 0 0 0 0 0
"Chesapeake City" "19 - Jolliff" 1221 354 791 47 17 5 7
"Chesapeake City" "20 - E W Chittum" 13 3 9 1 0 0 0
"Chesapeake City" "20 - E W Chittum" 1844 728 1030 53 14 9 10
"Chesapeake City" "21 - Fellowship" 1747 673 988 54 17 5 10
"Chesapeake City" "22 - Norfolk Highlands" 1194 434 691 40 11 8 10
"Chesapeake City" "23 - Oak Grove" 1715 853 750 58 25 14 15
"Chesapeake City" "24 - Oaklette" 1624 887 638 49 19 22 9
"Chesapeake City" "25 - St Julians" 896 430 417 31 7 5 6
"Chesapeake City" "26 - Johnson Park" 806 508 249 22 8 10 9
"Chesapeake City" "27 - Silverwood" 2053 768 1154 67 25 19 20
"Chesapeake City" "28 - Sunray I" 248 54 182 9 0 0 3
"Chesapeake City" "29 - Tanglewood" 1424 385 949 52 21 11 6
"Chesapeake City" "30 - South Norfolk" 861 805 35 10 2 8 1
"Chesapeake City" "31 - Carver School" 1787 1457 282 27 6 11 4
"Chesapeake City" "32 - Providence" 2071 1926 103 18 6 9 9
"Chesapeake City" "33 - Westover" 963 345 559 29 11 9 10
"Chesapeake City" "34 - Hickory Middle School" 2383 536 1682 102 23 14 26
"Chesapeake City" "35 - Taylor Road" 1131 725 335 42 15 9 5
"Chesapeake City" "36 - Great Bridge Baptist Church" 2468 762 1577 76 24 15 14
"Chesapeake City" "37 - Bridgetown" 1395 477 832 63 12 5 6
"Chesapeake City" "38 - Bailey Creek" 1551 399 1049 62 20 7 14
"Chesapeake City" "39 - Lake Drummond" 729 195 490 27 6 5 6
"Chesapeake City" "40 - River Birch" 2052 1028 904 74 25 8 13
"Chesapeake City" "41 - John T West" 2455 1206 1090 78 36 22 23
"Chesapeake City" "42 - Parkways" 1516 820 613 44 20 10 9
"Chesapeake City" "43 - Pleasant Crossing" 1426 334 1009 49 17 7 10
"Chesapeake City" "44 - Nansemond" 1167 613 516 19 9 6 4
"Chesapeake City" "45 - Sunray Ii" 0 0 0 0 0 0 0
"Chesapeake City" "45 - Sunray Ii" 594 356 210 15 5 5 3
"Chesapeake City" "46 - Bells Mill Ii" 1518 574 852 48 20 6 18
"Chesapeake City" "47 - Green Sea" 941 238 632 53 8 4 6
"Chesapeake City" "48 - Jolliff Middle School" 1777 1537 181 23 8 11 17
"Chesapeake City" "49 - Waterway" 2819 1186 1465 87 32 27 22
"Chesapeake City" "50 - River Walk" 1669 851 688 68 27 16 19
"Chesapeake City" "51 - Coopers Way" 2070 457 1519 58 19 10 7
"Chesapeake City" "52 - Shipyard Road" 1687 896 687 62 21 10 11
"Chesapeake City" "53 - Fairways" 1116 551 486 37 15 19 8
"Chesapeake City" "54 - Pughsville" 1624 1082 466 44 10 10 12
"Chesapeake City" "55 - Georgetown East" 1015 736 247 13 8 9 2
"Chesapeake City" "56 - Green Tree" 1407 779 553 33 18 7 17
"Chesapeake City" "57 - Cypress" 1616 854 642 68 28 10 14
"Chesapeake City" "58 - Expressway" 671 433 198 23 8 5 4
"Chesapeake City" "59 - Clearfield" 1170 484 615 36 21 6 8
"Chesapeake City" "60 - Parker Road" 2261 636 1486 75 29 11 24
"Chesapeake City" "61 - Centerville" 1500 379 1034 46 20 9 12
"Chesapeake City" "62 - Fentress" 1894 546 1219 77 22 11 19
"Chesapeake City" "63 - Poplar Branch" 1194 251 877 47 6 5 8
"Chesapeake City" "Ab - Central Absentee Precinct" 6256 4171 1847 120 51 32 35
"Chesapeake City" "Ab - Central Absentee Precinct" 8970 4233 4316 257 79 33 52
"Chesapeake City" Provisional 41 23 14 2 1 1 0
"Chesapeake City" Provisional 87 41 41 3 1 1 0
"Chesterfield County" "101 - Bellwood" 1402 631 711 35 11 5 9
"Chesterfield County" "102 - South Chester" 2232 955 1149 70 22 18 18
"Chesterfield County" "103 - Enon" 2791 1026 1648 66 16 17 18
"Chesterfield County" "104 - North Chester" 2467 828 1505 83 31 14 6
"Chesterfield County" "105 - Drewrys Bluff" 1773 1017 672 43 15 16 10
"Chesterfield County" "106 - Harrowgate" 3182 1561 1479 74 33 15 20
"Chesterfield County" "107 - Wells" 2146 1032 1015 57 17 10 15
"Chesterfield County" "108 - Ecoff" 2887 1033 1701 79 41 16 17
"Chesterfield County" "109 - Elizabeth Scott" 3253 1453 1649 90 25 13 23
"Chesterfield County" "110 - Dutch Gap" 1473 620 769 46 18 7 13
"Chesterfield County" "111 - Iron Bridge" 3249 1425 1656 91 34 18 25
"Chesterfield County" "112 - Carver" 1854 885 873 55 23 6 12
"Chesterfield County" "201 - Gates" 1720 680 954 57 13 9 7
"Chesterfield County" "202 - Beulah" 2371 1452 812 57 21 12 17
"Chesterfield County" "203 - Bird" 745 288 416 20 7 5 9
"Chesterfield County" "204 - Jacobs" 1477 720 662 47 19 16 13
"Chesterfield County" "205 - Falling Creek" 2452 1627 741 43 11 20 10
"Chesterfield County" "206 - Belmont" 1389 1108 215 33 11 17 5
"Chesterfield County" "207 - Chippenham" 791 568 192 16 4 6 5
"Chesterfield County" "208 - Meadowbrook" 2108 1448 593 44 6 12 5
"Chesterfield County" "209 - Salem Church" 2685 1139 1388 107 24 15 12
"Chesterfield County" "210 - Five Forks" 2900 1695 1037 99 31 20 18
"Chesterfield County" "211 - Nash" 2881 953 1794 102 14 8 10
"Chesterfield County" "212 - St. Luke's" 1284 572 659 30 14 5 4
"Chesterfield County" "213 - Southside" 3248 2479 656 64 12 20 17
"Chesterfield County" "214 - Hopkins" 347 288 44 10 0 2 3
"Chesterfield County" "215 - North Bird" 895 587 269 24 5 8 2
"Chesterfield County" "301 - Ettrick" 2956 2411 455 33 11 20 26
"Chesterfield County" "302 - Deer Run" 1019 350 603 43 13 5 5
"Chesterfield County" "303 - Matoaca" 2730 1261 1400 34 12 14 9
"Chesterfield County" "304 - Winfrees Store" 2784 707 1996 56 12 5 8
"Chesterfield County" "305 - Beach" 960 203 711 28 10 2 6
"Chesterfield County" "306 - Winterpock" 2829 657 2039 84 29 11 9
"Chesterfield County" "307 - Cosby" 3029 1197 1629 116 49 21 17
"Chesterfield County" "308 - South Manchester" 875 441 373 29 16 9 7
"Chesterfield County" "309 - Skinquarter" 3688 1142 2315 158 41 11 21
"Chesterfield County" "310 - Tomahawk" 2432 933 1318 112 37 15 17
"Chesterfield County" "313 - Woolridge" 3088 1197 1681 127 43 13 27
"Chesterfield County" "315 - Bailey Bridge" 2480 676 1675 85 24 12 8
"Chesterfield County" "316 - Spring Run" 2401 887 1345 101 39 13 16
"Chesterfield County" "317 - Birkdale" 2804 1034 1639 79 36 8 8
"Chesterfield County" "318 - West Beach" 820 311 478 18 6 5 2
"Chesterfield County" "401 - Harbour Pointe" 1447 578 766 67 16 5 15
"Chesterfield County" "402 - Genito" 3788 1693 1871 133 40 26 25
"Chesterfield County" "403 - Brandermill" 2498 1069 1234 115 32 21 27
"Chesterfield County" "404 - Providence" 2129 1077 904 99 31 7 11
"Chesterfield County" "405 - La Prade" 2252 987 1125 105 20 9 6
"Chesterfield County" "406 - Smoketree" 1949 745 1040 111 27 13 13
"Chesterfield County" "407 - Monacan" 1347 537 712 53 22 7 16
"Chesterfield County" "408 - Reams" 2955 1676 1099 102 40 23 15
"Chesterfield County" "409 - Manchester" 1225 629 532 37 20 2 5
"Chesterfield County" "410 - Wagstaff" 1364 622 650 52 22 11 7
"Chesterfield County" "411 - Swift Creek" 2284 966 1149 113 28 14 14
"Chesterfield County" "413 - Shenandoah" 2000 948 890 95 32 26 9
"Chesterfield County" "414 - Crenshaw" 3431 1418 1821 119 32 29 12
"Chesterfield County" "415 - Evergreen" 2443 1018 1229 110 47 24 15
"Chesterfield County" "416 - Evergreen West" 1176 571 532 42 22 4 5
"Chesterfield County" "417 - Edgewater" 1103 474 547 58 9 9 6
"Chesterfield County" "501 - Huguenot" 1617 805 657 78 47 17 13
"Chesterfield County" "502 - Crestwood" 1241 560 583 66 10 17 5
"Chesterfield County" "503 - Midlothian" 2246 850 1255 96 26 5 14
"Chesterfield County" "504 - Robious" 3271 1293 1729 154 57 15 23
"Chesterfield County" "505 - Bon Air" 2364 1134 1041 111 37 19 22
"Chesterfield County" "506 - Greenfield" 2278 1121 964 128 37 14 14
"Chesterfield County" "507 - Salisbury" 2999 1086 1696 155 35 6 21
"Chesterfield County" "508 - Belgrade" 2255 1006 1092 108 23 12 14
"Chesterfield County" "509 - Cranbeck" 1555 826 620 63 25 14 7
"Chesterfield County" "510 - Sycamore" 2436 929 1280 137 52 15 23
"Chesterfield County" "511 - Black Heath" 1576 597 844 91 14 6 24
"Chesterfield County" "513 - Beaufont" 1152 775 304 38 12 12 11
"Chesterfield County" "514 - Watkins" 2718 1034 1443 143 59 22 17
"Chesterfield County" "515 - Davis" 1841 1416 360 34 11 16 4
"Chesterfield County" "516 - Pocoshock" 1245 913 278 27 15 6 6
"Chesterfield County" "517 - Roseland" 770 275 437 39 10 2 7
"Chesterfield County" "518 - Midlothian North" 2483 873 1432 113 37 5 23
"Chesterfield County" "Ab - Central Absentee Precinct" 6070 2880 2952 139 50 11 38
"Chesterfield County" "Ab - Central Absentee Precinct" 11905 6138 4997 465 150 51 104
"Chesterfield County" Provisional 56 29 26 0 0 0 1
"Chesterfield County" Provisional 95 49 38 6 1 1 0
"Clarke County" "101 - Russell" 1508 423 1006 39 19 9 12
"Clarke County" "201 - Berryville" 1301 572 630 55 24 13 7
"Clarke County" "301 - Millwood" 1032 378 588 39 11 5 11
"Clarke County" "302 - Pine Grove" 472 161 278 17 8 3 5
"Clarke County" "401 - White Post" 1394 506 814 44 7 7 16
"Clarke County" "501 - Buckmarsh" 1040 380 605 32 10 10 3
"Clarke County" "502 - Blue Ridge" 406 144 231 11 11 2 7
"Clarke County" "Ab - Central Absentee Precinct" 1052 483 505 24 21 6 13
"Clarke County" Provisional 8 4 4 0 0 0 0
"Colonial Heights City" "1 - First" 1129 394 667 38 13 13 4
"Colonial Heights City" "2 - Second" 1236 304 870 39 12 8 3
"Colonial Heights City" "3 - Third" 1487 451 963 35 18 10 10
"Colonial Heights City" "4 - Fourth" 1714 536 1103 46 15 6 8
"Colonial Heights City" "5 - Fifth" 1682 351 1250 55 18 4 4
"Colonial Heights City" "Ab - Central Absentee Precinct" 1209 331 828 34 12 3 1
"Colonial Heights City" Provisional 0 0 0 0 0 0 0
"Covington City" "101 - Precinct 1-1" 338 127 197 9 4 1 0
"Covington City" "201 - Precinct 2-1" 403 170 211 12 3 1 6
"Covington City" "301 - Precinct 3-1" 382 216 149 13 1 3 0
"Covington City" "401 - Precinct 4-1" 545 178 339 15 9 0 4
"Covington City" "501 - Precinct 5-1" 533 148 359 18 6 1 1
"Covington City" "Ab - Central Absentee Precinct" 181 75 94 6 2 2 2
"Covington City" Provisional 0 0 0 0 0 0 0
"Craig County" "101 - Court House" 520 86 415 9 4 4 2
"Craig County" "201 - Ammendale Precinct" 604 95 485 12 8 2 2
"Craig County" "301 - Givens & Reynolds Store" 330 91 226 7 4 2 0
"Craig County" "303 - Marshalls Store" 263 70 180 6 4 2 1
"Craig County" "401 - Barbours Creek" 233 45 169 6 6 4 3
"Craig County" "402 - Paint Bank" 48 16 31 1 0 0 0
"Craig County" "403 - Craig Springs" 246 55 185 5 0 1 0
"Craig County" "501 - Craig City" 549 83 448 8 4 5 1
"Craig County" Provisional 1 0 1 0 0 0 0
"Culpeper County" "101 - West Fairfax" 2474 1076 1254 75 33 24 12
"Culpeper County" "201 - East Fairfax" 2173 1092 983 54 15 17 12
"Culpeper County" "302 - Eggbornsville" 1296 328 909 28 16 11 4
"Culpeper County" "303 - Cardova" 995 283 669 26 7 9 1
"Culpeper County" "304 - Willow Shade" 501 204 274 10 7 3 3
"Culpeper County" "401 - Eldorado" 1292 362 877 23 10 14 6
"Culpeper County" "402 - Browns Store" 1949 566 1294 45 25 11 8
"Culpeper County" "501 - Jeffersonton" 1724 490 1136 54 27 8 9
"Culpeper County" "502 - Rixeyville" 1609 414 1104 49 22 12 8
"Culpeper County" "601 - Mitchells" 274 91 172 5 2 4 0
"Culpeper County" "602 - Pearl Sample" 1783 617 1087 45 21 6 7
"Culpeper County" "603 - South Ridge" 604 257 301 24 12 4 6
"Culpeper County" "702 - Brandy Station" 1633 430 1126 46 7 12 12
"Culpeper County" "703 - Lignum" 882 254 589 27 3 7 2
"Culpeper County" "704 - Richardsville" 454 105 338 3 5 3 0
"Culpeper County" "Ab - Central Absentee Precinct" 2558 1179 1230 70 30 31 18
"Culpeper County" Provisional 17 11 6 0 0 0 0
"Cumberland County" "101 - Precinct 1" 1000 393 568 24 3 6 6
"Cumberland County" "201 - Precinct 2" 975 295 638 21 8 6 7
"Cumberland County" "301 - Precinct 3" 877 506 345 13 7 3 3
"Cumberland County" "401 - Precinct 4" 882 322 535 15 6 1 3
"Cumberland County" "501 - Precinct 5" 822 370 422 18 5 4 3
"Cumberland County" "Ab - Central Absentee Precinct" 345 148 187 3 3 4 0
"Cumberland County" Provisional 5 2 2 1 0 0 0
"Danville City" "1 - Ward One" 443 384 49 4 2 2 2
"Danville City" "2 - Ward Two" 539 322 186 10 12 4 5
"Danville City" "3 - Ward Three" 1058 728 283 26 10 6 5
"Danville City" "4 - Ward Four" 1873 953 857 37 16 3 7
"Danville City" "6 - Ward Six" 532 468 57 4 0 1 2
"Danville City" "7 - Ward Seven" 954 800 133 7 7 5 2
"Danville City" "8 - Ward Eight" 889 586 283 12 4 2 2
"Danville City" "9 - Ward Nine" 792 430 347 9 4 2 0
"Danville City" "10 - Ward Ten" 1082 602 448 20 5 6 1
"Danville City" "11 - Ward Eleven" 1509 976 483 24 10 9 7
"Danville City" "12 - Ward Twelve" 1631 971 615 26 5 8 6
"Danville City" "13 - Ward Thirteen" 1384 894 440 23 9 9 9
"Danville City" "14 - Ward Fourteen" 242 234 6 0 0 2 0
"Danville City" "15 - Ward Fifteen" 1261 622 603 25 1 4 6
"Danville City" "16 - Ward Sixteen" 1440 578 817 27 11 2 5
"Danville City" "17 - Ward Seventeen" 1218 335 854 17 3 5 4
"Danville City" "Ab - Central Absentee Precinct" 2090 1168 835 44 18 3 22
"Danville City" Provisional 15 8 7 0 0 0 0
"Dickenson County" "101 - South Clintwood" 1182 241 901 20 7 3 10
"Dickenson County" "201 - Nora" 381 63 305 4 5 1 3
"Dickenson County" "202 - Frying Pan" 162 21 138 1 0 0 2
"Dickenson County" "203 - Clinchco" 552 119 418 4 6 2 3
"Dickenson County" "301 - West Dante" 183 16 161 4 1 1 0
"Dickenson County" "302 - Herald" 349 36 307 0 2 0 4
"Dickenson County" "303 - Ridge" 632 92 528 7 2 1 2
"Dickenson County" "401 - Haysi-Colley" 1040 264 748 17 6 1 4
"Dickenson County" "501 - Tarpon" 292 78 200 9 3 1 1
"Dickenson County" "502 - North Clintwood" 874 163 689 11 5 1 5
"Dickenson County" "Ab - Central Absentee Precinct" 793 242 537 4 6 3 1
"Dickenson County" Provisional 0 0 0 0 0 0 0
"Dinwiddie County" "101 - White Oak" 502 113 374 5 6 2 2
"Dinwiddie County" "102 - Rocky Run" 812 209 582 11 7 1 2
"Dinwiddie County" "103 - Church Road" 1187 211 944 18 11 0 3
"Dinwiddie County" "201 - Rohoic" 681 360 309 9 2 1 0
"Dinwiddie County" "202 - Sutherland" 1685 604 1038 25 9 4 5
"Dinwiddie County" "301 - Reams" 535 179 333 17 3 3 0
"Dinwiddie County" "302 - New Hope" 909 341 548 10 5 5 0
"Dinwiddie County" "303 - Little Zion" 1164 600 532 15 8 4 5
"Dinwiddie County" "401 - Dinwiddie" 1232 465 734 13 12 5 3
"Dinwiddie County" "402 - Mckenney" 754 300 428 12 4 5 5
"Dinwiddie County" "403 - Cherry Hill" 515 270 237 4 0 1 3
"Dinwiddie County" "501 - Edgehill" 244 166 70 7 0 1 0
"Dinwiddie County" "502 - Chesdin" 1813 1162 601 32 6 7 5
"Dinwiddie County" "Ab - Central Absentee Precinct" 1542 785 717 18 6 7 9
"Dinwiddie County" Provisional 0 0 0 0 0 0 0
"Emporia City" "101 - Precinct 1-1" 386 292 91 1 0 1 1
"Emporia City" "201 - Precinct 2-1" 255 240 13 0 1 0 1
"Emporia City" "301 - Precinct 3-1" 351 156 179 8 5 2 1
"Emporia City" "401 - Precinct 4-1" 463 246 212 1 1 3 0
"Emporia City" "501 - Precinct 5-1" 239 229 6 2 0 2 0
"Emporia City" "601 - District 6" 374 153 209 11 0 1 0
"Emporia City" "701 - District 7" 298 213 79 3 1 1 1
"Emporia City" Provisional 1 1 0 0 0 0 0
"Essex County" "101 - Greater Tappahannock" 1081 537 503 22 7 5 7
"Essex County" "201 - North" 1173 721 395 15 1 3 38
"Essex County" "301 - South" 1329 457 825 33 6 5 3
"Essex County" "401 - Central" 1180 521 619 28 7 2 3
"Essex County" "Ab - Central Absentee Precinct" 644 305 315 15 4 3 2
"Essex County" Provisional 1 1 0 0 0 0 0
"Fairfax County" "104 - Chapel" 1526 860 545 58 36 6 21
"Fairfax County" "105 - Fairview" 3043 1819 992 93 57 33 49
"Fairfax County" "106 - Heritage" 2435 1763 546 56 20 37 13
"Fairfax County" "108 - Kings Park" 1606 943 539 56 38 10 20
"Fairfax County" "109 - Little Run" 940 567 306 29 19 4 15
"Fairfax County" "110 - North Springfield" 2731 1738 828 65 41 33 26
"Fairfax County" "113 - Canterbury" 2582 1601 793 83 52 15 38
"Fairfax County" "114 - Olde Creek" 1235 736 406 39 24 7 23
"Fairfax County" "115 - Ravensworth" 1242 716 421 51 30 8 16
"Fairfax County" "116 - Wakefield" 1498 954 432 40 39 9 24
"Fairfax County" "117 - Woodson" 1773 1026 617 55 37 10 28
"Fairfax County" "118 - Lake Braddock" 2586 1726 658 99 51 21 31
"Fairfax County" "119 - Laurel" 2663 1604 842 93 79 19 26
"Fairfax County" "120 - Sideburn" 2052 1061 823 61 45 18 44
"Fairfax County" "121 - Villa" 1371 814 457 33 38 16 13
"Fairfax County" "123 - Robinson" 2712 1599 887 102 54 23 47
"Fairfax County" "125 - Signal Hill" 1925 1151 642 56 30 11 35
"Fairfax County" "126 - Bonnie Brae" 1579 997 450 67 30 18 17
"Fairfax County" "127 - Burke Centre" 2924 1802 890 93 73 30 36
"Fairfax County" "128 - Cardinal" 1530 942 470 34 30 20 34
"Fairfax County" "129 - Keene Mill" 1151 718 360 33 21 9 10
"Fairfax County" "130 - Terra Centre" 1620 950 539 55 41 11 24
"Fairfax County" "131 - Eagle View" 2110 1262 686 73 45 22 22
"Fairfax County" "132 - Monument" 2397 1581 665 65 40 28 18
"Fairfax County" "133 - Danbury" 484 316 132 16 7 8 5
"Fairfax County" "134 - University" 2648 1998 403 145 39 42 21
"Fairfax County" "201 - Armstrong" 2300 1458 667 69 51 17 38
"Fairfax County" "202 - Flint Hill" 1893 1058 677 59 49 10 40
"Fairfax County" "203 - Floris" 2414 1450 836 53 30 22 23
"Fairfax County" "204 - Madison" 572 402 128 15 14 6 7
"Fairfax County" "208 - Reston #1" 2028 1441 433 69 32 25 28
"Fairfax County" "209 - Reston #2" 2017 1489 377 61 39 30 21
"Fairfax County" "213 - Vienna #1" 2478 1476 777 86 69 26 44
"Fairfax County" "214 - Vienna #2" 1959 1184 609 59 54 18 35
"Fairfax County" "216 - Vienna #4" 1081 692 310 33 25 8 13
"Fairfax County" "218 - Vienna #6" 1418 957 356 35 37 7 26
"Fairfax County" "219 - Westbriar" 2193 1373 651 80 47 9 33
"Fairfax County" "220 - Dogwood" 2641 1880 576 76 52 29 28
"Fairfax County" "221 - Hunters Woods" 1703 1103 499 44 23 7 27
"Fairfax County" "222 - Reston #3" 1415 1090 230 40 20 21 14
"Fairfax County" "223 - Glade" 2481 1708 561 93 66 24 29
"Fairfax County" "224 - South Lakes" 2819 1984 637 88 42 30 38
"Fairfax County" "225 - Hughes" 2421 1777 458 83 42 31 30
"Fairfax County" "226 - Wolftrap" 2261 1297 742 79 71 13 59
"Fairfax County" "227 - Sunrise Valley" 1136 700 348 26 23 10 29
"Fairfax County" "229 - Fox Mill" 2990 1729 1055 89 57 19 41
"Fairfax County" "233 - North Point" 2098 1224 729 55 29 17 44
"Fairfax County" "234 - Aldrin" 1761 1121 513 43 40 11 33
"Fairfax County" "235 - Frying Pan" 1929 1345 468 51 31 20 14
"Fairfax County" "236 - Stuart" 898 559 266 30 19 8 16
"Fairfax County" "237 - Mcnair" 2242 1594 495 72 34 27 20
"Fairfax County" "238 - Cameron Glen" 1966 1147 661 77 26 22 33
"Fairfax County" "240 - Colvin" 1557 844 611 41 29 4 28
"Fairfax County" "301 - Chain Bridge" 1721 941 656 40 31 14 39
"Fairfax County" "302 - Chesterbrook" 1498 911 475 40 39 4 29
"Fairfax County" "303 - Churchill" 877 532 276 21 16 4 28
"Fairfax County" "304 - Cooper" 1159 638 441 23 21 6 30
"Fairfax County" "305 - El Nido" 1282 813 369 29 36 9 26
"Fairfax County" "306 - Great Falls" 1257 626 551 33 9 6 32
"Fairfax County" "307 - Haycock" 1465 937 396 40 39 9 44
"Fairfax County" "309 - Kenmore" 1959 1117 694 60 37 15 36
"Fairfax County" "310 - Kirby" 1180 749 323 28 44 11 25
"Fairfax County" "311 - Langley" 1121 614 429 19 23 5 31
"Fairfax County" "312 - Longfellow" 1501 919 440 35 66 10 31
"Fairfax County" "314 - Mclean" 1292 727 462 33 33 15 22
"Fairfax County" "315 - Pimmit" 2158 1342 648 53 66 26 23
"Fairfax County" "316 - Salona #1" 557 320 203 17 5 3 9
"Fairfax County" "317 - Westhampton" 1376 855 415 47 22 13 24
"Fairfax County" "318 - Westmoreland" 853 516 267 28 22 9 11
"Fairfax County" "319 - Herndon #1" 2622 1622 784 85 69 20 42
"Fairfax County" "320 - Herndon #2" 2735 1870 679 90 50 20 26
"Fairfax County" "321 - Clearview" 2657 1498 917 91 92 20 39
"Fairfax County" "322 - Forestville" 1931 870 910 49 34 16 52
"Fairfax County" "323 - Shouse" 1368 807 471 40 17 7 26
"Fairfax County" "324 - Herndon #3" 2319 1539 593 82 43 39 23
"Fairfax County" "325 - Hutchison" 1487 1118 289 36 13 17 14
"Fairfax County" "327 - Sugarland" 2317 1324 823 74 45 15 36
"Fairfax County" "328 - Hickory" 1919 988 792 51 36 12 40
"Fairfax County" "329 - Seneca" 2109 1076 910 50 25 12 36
"Fairfax County" "331 - Spring Hill" 1211 676 426 43 37 4 25
"Fairfax County" "332 - Coates" 2236 1607 485 55 33 29 27
"Fairfax County" "333 - Salona #2" 949 562 307 27 28 6 19
"Fairfax County" "401 - Bush Hill" 2140 1324 663 54 53 16 30
"Fairfax County" "402 - Cameron" 768 506 200 21 14 5 22
"Fairfax County" "403 - Forestdale" 873 609 222 15 11 6 10
"Fairfax County" "404 - Franconia" 2181 1519 518 63 36 23 22
"Fairfax County" "405 - Groveton" 1329 1005 257 34 10 12 11
"Fairfax County" "406 - Hayfield" 1554 838 614 37 35 9 21
"Fairfax County" "408 - Mount Eagle" 1570 1196 260 52 26 14 22
"Fairfax County" "409 - Pioneer" 2459 1743 599 42 30 23 22
"Fairfax County" "410 - Rose Hill" 2850 1727 930 81 53 27 32
"Fairfax County" "411 - Virginia Hills" 1521 1014 404 41 36 13 13
"Fairfax County" "413 - Fairfield" 1483 1259 178 15 8 13 10
"Fairfax County" "415 - Crestwood" 1756 1113 520 52 33 25 13
"Fairfax County" "417 - Garfield" 2356 1644 605 42 25 19 21
"Fairfax County" "418 - Lynbrook" 1419 1008 332 38 24 12 5
"Fairfax County" "419 - Lane" 2158 1533 468 58 46 26 27
"Fairfax County" "420 - Villages" 2511 1673 653 84 49 19 33
"Fairfax County" "421 - Kingstowne" 2226 1510 559 70 41 18 28
"Fairfax County" "422 - Van Dorn" 2296 1606 542 69 47 10 22
"Fairfax County" "423 - Clermont" 1746 1093 517 56 36 11 33
"Fairfax County" "424 - Huntley" 1724 1110 487 59 37 9 22
"Fairfax County" "426 - Greenspring" 1342 844 452 8 17 1 20
"Fairfax County" "427 - Island Creek" 1703 1129 456 48 33 11 26
"Fairfax County" "428 - Pinewood" 1766 1434 244 35 24 14 15
"Fairfax County" "429 - Hybla Valley" 2070 1744 269 24 12 12 9
"Fairfax County" "501 - Baileys" 2087 1564 396 43 43 16 25
"Fairfax County" "502 - Barcroft" 844 558 238 17 10 5 16
"Fairfax County" "503 - Belvedere" 1002 681 256 23 20 10 12
"Fairfax County" "504 - Bristow" 1755 1293 380 28 20 21 13
"Fairfax County" "505 - Glen Forest" 1798 1309 394 31 30 20 14
"Fairfax County" "506 - Holmes #1" 443 346 84 7 0 3 3
"Fairfax County" "507 - Lincolnia" 1967 1402 448 50 31 16 20
"Fairfax County" "508 - Masonville" 1800 1160 509 58 39 17 17
"Fairfax County" "509 - Plaza" 700 561 102 13 7 11 6
"Fairfax County" "510 - Parklawn" 1424 948 397 24 17 18 20
"Fairfax County" "511 - Ravenwood" 1568 1051 382 51 31 14 39
"Fairfax County" "512 - Sleepy Hollow" 935 599 258 20 29 7 22
"Fairfax County" "513 - Saint Albans" 1038 679 293 25 21 3 17
"Fairfax County" "513 - Saint Albans" 548 340 168 12 10 6 12
"Fairfax County" "514 - Crossroads" 727 596 101 10 8 5 7
"Fairfax County" "515 - Westlawn" 1177 827 288 26 16 12 8
"Fairfax County" "516 - Weyanoke" 1958 1443 404 41 27 22 21
"Fairfax County" "517 - Willston" 1235 935 235 28 15 14 8
"Fairfax County" "518 - Columbia" 1830 1219 500 41 32 23 15
"Fairfax County" "519 - Hummer" 1207 761 374 32 20 8 12
"Fairfax County" "520 - Skyline" 1497 1184 235 22 22 21 13
"Fairfax County" "521 - Brook Hill" 1467 934 458 22 23 12 18
"Fairfax County" "522 - Camelot" 961 538 354 29 21 6 13
"Fairfax County" "523 - Poe" 1623 1066 461 34 23 13 26
"Fairfax County" "525 - Walnut Hill" 2238 1494 599 45 49 19 32
"Fairfax County" "526 - Bren Mar" 2194 1652 417 58 28 12 27
"Fairfax County" "527 - Edsall" 1393 932 381 38 22 9 11
"Fairfax County" "528 - Ridgelea" 820 471 281 27 17 5 19
"Fairfax County" "530 - Holmes #2" 1179 911 204 29 11 14 10
"Fairfax County" "601 - Belle Haven" 1404 816 471 33 38 16 30
"Fairfax County" "602 - Belleview" 1473 940 405 50 33 12 33
"Fairfax County" "604 - Bucknell" 2120 1592 391 63 27 25 22
"Fairfax County" "605 - Fort Hunt" 1498 839 532 32 29 10 56
"Fairfax County" "606 - Hollin Hall" 1635 968 533 48 33 8 45
"Fairfax County" "607 - Huntington" 2395 1717 488 89 45 30 26
"Fairfax County" "608 - Kirkside" 1212 872 262 24 25 9 20
"Fairfax County" "609 - Marlan" 1420 825 464 46 28 15 42
"Fairfax County" "610 - Sherwood" 1244 868 299 30 17 5 25
"Fairfax County" "611 - Stratford" 1750 972 614 56 49 17 42
"Fairfax County" "612 - Waynewood" 896 531 303 21 19 3 19
"Fairfax County" "613 - Westgate" 2343 1096 1038 83 47 18 61
