DIST COUNTY AREA TOTAL DEM REP IND OTH
3 DUNN "Town of WILSON Ward 1" 582 125 166 0 0
3 DUNN "Village of BOYCEVILLE Ward 1" 996 207 291 0 0
3 DUNN "Village of COLFAX Wards 1-2" 1134 275 292 0 0
3 DUNN "Village of DOWNING Ward 1" 238 38 81 0 0
3 DUNN "Village of ELK MOUND Ward 1" 838 207 212 0 0
3 DUNN "Village of KNAPP Ward 1" 500 74 176 0 0
3 DUNN "Village of RIDGELAND Ward 1" 244 54 68 0 0
3 DUNN "Village of WHEELER Ward 1" 268 50 84 0 0
3 DUNN "City of MENOMONIE Wards 1-2" 3592 955 841 0 0
3 DUNN "City of MENOMONIE Wards 3-4" 1808 528 376 0 0
3 DUNN "City of MENOMONIE Wards 5,7" 1298 355 294 0 0
3 DUNN "City of MENOMONIE Ward 6" 1218 363 246 0 0
3 DUNN "City of MENOMONIE Wards 8-9" 2586 782 511 0 0
3 DUNN "City of MENOMONIE Wards 10-11" 3396 1055 643 0 0
3 DUNN "City of MENOMONIE Ward 12" 0 0 0 0 0
3 "EAU CLAIRE" "Town of BRIDGE CREEK Wards 1-2" 1364 255 427 0 0
3 "EAU CLAIRE" "Town of BRUNSWICK Wards 1-2" 2498 583 666 0 0
3 "EAU CLAIRE" "Town of CLEAR CREEK Wards 1-2" 954 207 270 0 0
3 "EAU CLAIRE" "Town of DRAMMEN Ward 1" 954 198 279 0 0
3 "EAU CLAIRE" "Town of FAIRCHILD Ward 1" 342 52 119 0 0
3 "EAU CLAIRE" "Town of LINCOLN Wards 1-2" 1340 263 407 0 0
3 "EAU CLAIRE" "Town of LUDINGTON Ward 1" 1276 274 364 0 0
3 "EAU CLAIRE" "Town of OTTER CREEK Ward 1" 510 101 154 0 0
3 "EAU CLAIRE" "Town of PLEASANT VALLEY Wards 1-4" 5064 1104 1427 0 1
3 "EAU CLAIRE" "Town of SEYMOUR Wards 1-6" 4296 1013 1134 0 1
3 "EAU CLAIRE" "Town of UNION Wards 1-4" 3260 815 812 0 3
3 "EAU CLAIRE" "Town of WASHINGTON Wards 1-13" 9598 2467 2331 0 1
3 "EAU CLAIRE" "Town of WILSON Ward 1" 436 56 162 0 0
3 "EAU CLAIRE" "Village of FAIRCHILD Ward 1" 456 93 135 0 0
3 "EAU CLAIRE" "Village of FALL CREEK Wards 1-2" 1622 402 409 0 0
3 "EAU CLAIRE" "City of ALTOONA Wards 1-11" 8992 2541 1955 0 0
3 "EAU CLAIRE" "City of ALTOONA Wards 12-16" 54 18 9 0 0
3 "EAU CLAIRE" "City of AUGUSTA Wards 1-5" 1420 295 415 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 1" 1070 382 152 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 2" 1198 456 142 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 3" 3294 1299 344 0 4
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 4" 1124 308 250 0 4
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 5" 1330 452 213 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 6" 1446 535 188 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 7" 1596 503 295 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 8" 1630 483 330 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 9" 802 273 128 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 10" 2486 758 485 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 11" 2278 632 505 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 12" 3464 1037 694 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 13" 812 237 169 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 14" 2994 867 629 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 15" 2560 784 496 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 17" 2852 875 551 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 18" 990 302 192 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 19" 978 288 201 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 20" 1120 352 208 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 21" 2048 657 364 0 3
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 22" 1022 304 207 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 23" 3150 981 591 0 3
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 24" 44 12 10 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 25" 2796 893 502 0 3
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 26" 1102 316 235 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 27" 302 109 42 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 28" 840 250 170 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 29" 2634 872 445 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 30" 2308 784 370 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 31" 1926 724 238 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 32" 2110 766 287 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 33" 866 262 171 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 34" 846 261 161 0 1
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 35" 1922 610 349 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 36" 652 178 148 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 37" 1342 382 289 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 38" 1874 553 384 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 39" 1916 602 354 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 42" 726 210 153 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 43" 604 193 109 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 44" 180 63 27 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 45" 856 255 173 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 46" 1980 694 296 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 47" 660 180 150 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 48" 858 253 174 0 2
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 49" 808 240 164 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 50" 6 3 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 51" 2 1 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 52" 2 0 1 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 53" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 54" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 55" 8 4 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 56" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 57" 14 5 2 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 58" 2 1 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 59" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 60" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 61" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 62" 4 1 1 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 63" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 64" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 65" 124 24 38 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 66" 4 2 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 67" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 68" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 69" 6 1 2 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 70" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 71" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 72" 16 3 5 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 73" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 74" 4 1 1 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 75" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 76" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 77" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 79" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 80" 0 0 0 0 0
3 "EAU CLAIRE" "City of EAU CLAIRE Ward 81" 0 0 0 0 0
3 GRANT "Town of BEETOWN Ward 1" 688 110 234 0 0
3 GRANT "Town of BLOOMINGTON Ward 1" 432 73 143 0 0
3 GRANT "Town of BOSCOBEL Wards 1-2" 418 95 114 0 0
3 GRANT "Town of CASSVILLE Ward 1" 422 74 137 0 0
3 GRANT "Town of CASTLE ROCK Ward 1" 314 68 89 0 0
3 GRANT "Town of CLIFTON Wards 1-2" 268 66 68 0 0
3 GRANT "Town of ELLENBORO Ward 1" 656 107 221 0 0
3 GRANT "Town of FENNIMORE Wards 1-2" 486 109 134 0 0
3 GRANT "Town of GLEN HAVEN Ward 1" 432 84 132 0 0
3 GRANT "Town of HARRISON Ward 1" 546 104 169 0 0
3 GRANT "Town of HAZEL GREEN Wards 1-2" 1302 331 320 0 0
3 GRANT "Town of HICKORY GROVE Ward 1" 372 71 115 0 0
3 GRANT "Town of JAMESTOWN Wards 1-3" 2556 496 782 0 0
3 GRANT "Town of LIBERTY Ward 1" 520 85 175 0 0
3 GRANT "Town of LIMA Ward 1" 748 159 215 0 0
3 GRANT "Town of LITTLE GRANT Ward 1" 324 64 98 0 0
3 GRANT "Town of MARION Ward 1" 534 104 163 0 0
3 GRANT "Town of MILLVILLE Ward 1" 192 55 41 0 0
3 GRANT "Town of MOUNT HOPE Ward 1" 188 36 58 0 0
3 GRANT "Town of MOUNT IDA Ward 1" 602 119 182 0 0
3 GRANT "Town of MUSCODA Ward 1" 722 128 233 0 0
3 GRANT "Town of NORTH LANCASTER Wards 1-2" 604 114 188 0 0
3 GRANT "Town of PARIS Wards 1-2" 888 183 261 0 0
3 GRANT "Town of PATCH GROVE Ward 1" 350 84 91 0 0
3 GRANT "Town of PLATTEVILLE Wards 1-3" 1774 435 452 0 0
3 GRANT "Town of POTOSI Ward 1" 944 194 278 0 0
3 GRANT "Town of SMELSER Wards 1-2" 970 235 250 0 0
3 GRANT "Town of SOUTH LANCASTER Wards 1-3" 758 150 229 0 0
3 GRANT "Town of WATERLOO Ward 1" 628 121 193 0 0
3 GRANT "Town of WATTERSTOWN Wards 1-2" 398 90 109 0 0
3 GRANT "Town of WINGVILLE Ward 1" 356 89 89 0 0
3 GRANT "Town of WOODMAN Ward 1" 192 34 62 0 0
3 GRANT "Town of WYALUSING Ward 1" 398 88 111 0 0
3 GRANT "Village of BAGLEY Ward 1" 380 84 105 0 1
3 GRANT "Village of BLOOMINGTON Ward 1" 728 157 207 0 0
3 GRANT "Village of BLUE RIVER Ward 1" 420 102 108 0 0
3 GRANT "Village of CASSVILLE Wards 1-2" 864 213 219 0 0
3 GRANT "Village of DICKEYVILLE Wards 1-2" 1172 276 310 0 0
3 GRANT "Village of HAZEL GREEN Wards 1-2" 1228 317 297 0 0
3 GRANT "Village of LIVINGSTON Ward 1" 678 168 171 0 0
3 GRANT "Village of MONTFORT Ward 1" 572 155 131 0 0
3 GRANT "Village of MOUNT HOPE Ward 1" 196 50 48 0 0
3 GRANT "Village of MUSCODA Wards 1-2" 1118 296 263 0 0
3 GRANT "Village of PATCH GROVE Ward 1" 172 40 46 0 0
3 GRANT "Village of POTOSI Ward 1" 756 160 217 0 1
3 GRANT "Village of TENNYSON Ward 1" 400 81 118 0 1
3 GRANT "Village of WOODMAN Ward 1" 88 14 30 0 0
3 GRANT "City of BOSCOBEL Wards 1-4" 2586 650 642 0 1
3 GRANT "City of CUBA CITY Wards 1-4" 1944 539 433 0 0
3 GRANT "City of FENNIMORE Wards 1-4" 2444 584 638 0 0
3 GRANT "City of LANCASTER Wards 1-6" 3818 879 1030 0 0
3 GRANT "City of PLATTEVILLE Wards 1-2" 3032 942 572 0 2
3 GRANT "City of PLATTEVILLE Wards 3-4" 2324 691 469 0 2
3 GRANT "City of PLATTEVILLE Wards 5-6" 1286 342 299 0 2
3 GRANT "City of PLATTEVILLE Wards 7-9" 2998 872 625 0 2
3 JACKSON "Town of ADAMS Wards 1-3" 1704 403 449 0 0
3 JACKSON "Town of ALBION Wards 1-4" 1400 312 388 0 0
3 JACKSON "Town of ALMA Wards 2-3,5" 696 148 200 0 0
3 JACKSON "Town of BROCKWAY Wards 1-6" 1768 546 338 0 0
3 JACKSON "Town of CURRAN Ward 1" 356 82 96 0 0
3 JACKSON "Town of FRANKLIN Ward 1" 362 103 78 0 0
3 JACKSON "Town of GARFIELD Ward 1" 806 148 255 0 0
3 JACKSON "Town of HIXTON Wards 1-2" 670 131 204 0 0
3 JACKSON "Town of IRVING Wards 1-3" 786 182 211 0 0
3 JACKSON "Town of KOMENSKY Ward 1" 346 152 21 0 0
3 JACKSON "Town of MANCHESTER Ward 1" 944 186 286 0 0
3 JACKSON "Town of MELROSE Ward 1" 472 95 141 0 0
3 JACKSON "Town of MILLSTON Ward 1" 200 47 53 0 0
3 JACKSON "Town of NORTH BEND Ward 1" 546 147 126 0 0
3 JACKSON "Town of NORTHFIELD Ward 1" 740 142 228 0 0
3 JACKSON "Town of SPRINGFIELD Ward 1" 484 124 118 0 0
3 JACKSON "Village of ALMA CENTER Ward 1" 464 132 100 0 0
3 JACKSON "Village of HIXTON Ward 1" 468 106 128 0 0
3 JACKSON "Village of MELROSE Ward 1" 586 146 147 0 0
3 JACKSON "Village of MERRILLAN Ward 1" 466 123 110 0 0
3 JACKSON "Village of TAYLOR Ward 1" 370 91 94 0 0
3 JACKSON "City of BLACK RIVER FALLS Ward 1" 1034 299 218 0 0
3 JACKSON "City of BLACK RIVER FALLS Ward 2" 812 236 170 0 0
3 JACKSON "City of BLACK RIVER FALLS Ward 3" 600 178 122 0 0
3 JACKSON "City of BLACK RIVER FALLS Ward 4" 950 249 226 0 0
3 JUNEAU "Town of CLEARFIELD Ward 2" 196 27 71 0 0
3 JUNEAU "Town of FOUNTAIN Wards 1-2" 692 127 218 0 1
3 JUNEAU "Town of GERMANTOWN Wards 1,3" 1070 183 352 0 0
3 JUNEAU "Town of KILDARE Ward 1" 760 135 245 0 0
3 JUNEAU "Town of LEMONWEIR Wards 1-4" 1830 350 564 0 1
3 JUNEAU "Town of LINDINA Ward 1" 916 206 252 0 0
3 JUNEAU "Town of LISBON Wards 1-2" 1056 206 322 0 0
3 JUNEAU "Town of LYNDON Wards 1-3" 1544 343 427 0 2
3 JUNEAU "Town of MARION Ward 1" 508 69 185 0 0
3 JUNEAU "Town of ORANGE Ward 1" 576 96 189 0 3
3 JUNEAU "Town of PLYMOUTH Ward 1" 714 129 227 0 1
3 JUNEAU "Town of SEVEN MILE CREEK Wards 1-2" 404 80 122 0 0
3 JUNEAU "Town of SUMMIT Ward 1" 740 134 236 0 0
3 JUNEAU "Town of WONEWOC Wards 1-2" 728 138 226 0 0
3 JUNEAU "Village of CAMP DOUGLAS Ward 1" 610 106 197 0 2
3 JUNEAU "Village of HUSTLER Ward 1" 210 51 54 0 0
3 JUNEAU "Village of LYNDON STATION Ward 1" 454 109 118 0 0
3 JUNEAU "Village of UNION CENTER Ward 1" 230 36 79 0 0
3 JUNEAU "Village of WONEWOC Ward 1" 710 158 197 0 0
3 JUNEAU "City of ELROY Wards 1-7" 1172 288 297 0 1
3 JUNEAU "City of MAUSTON Wards 1-7" 3578 829 958 0 2
3 JUNEAU "City of NEW LISBON Wards 1-7" 1368 263 421 0 0
3 JUNEAU "CITY OF WISCONSIN DELLS Ward 7" 0 0 0 0 0
3 "LA CROSSE" "Town of BANGOR Ward 1" 694 160 187 0 0
3 "LA CROSSE" "Town of BARRE Wards 1-2" 1592 314 481 0 1
3 "LA CROSSE" "Town of BURNS Ward 1" 1162 264 317 0 0
3 "LA CROSSE" "Town of CAMPBELL Wards 1-6" 5306 1605 1045 0 3
3 "LA CROSSE" "Town of FARMINGTON Wards 1-2" 2556 600 676 0 2
3 "LA CROSSE" "Town of GREENFIELD Wards 1-2" 2714 706 651 0 0
3 "LA CROSSE" "Town of HAMILTON Wards 1-5" 3142 691 878 0 2
3 "LA CROSSE" "Town of HOLLAND Wards 1-6" 5588 1376 1416 0 2
3 "LA CROSSE" "Town of MEDARY Wards 1-2" 2238 639 480 0 0
3 "LA CROSSE" "Town of ONALASKA Wards 1-8" 7398 1854 1842 0 3
3 "LA CROSSE" "Town of SHELBY Wards 1-4" 3976 1148 840 0 0
3 "LA CROSSE" "Town of SHELBY Wards 5-6" 2548 824 450 0 0
3 "LA CROSSE" "Town of WASHINGTON Ward 1" 628 166 146 0 2
3 "LA CROSSE" "Village of BANGOR Wards 1-2" 1584 435 357 0 0
3 "LA CROSSE" "Village of HOLMEN Wards 1-14" 11714 3404 2452 0 1
3 "LA CROSSE" "Village of ROCKLAND Ward 1" 786 186 207 0 0
3 "LA CROSSE" "Village of WEST SALEM Wards 1-8" 5752 1533 1343 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 1" 3380 1051 639 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 2" 930 307 158 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 3" 2058 681 348 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 4" 880 322 117 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 5" 1584 547 244 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 6" 2478 864 369 0 6
3 "LA CROSSE" "City of LA CROSSE Ward 7" 3064 1065 464 0 3
3 "LA CROSSE" "City of LA CROSSE Ward 8" 1774 516 370 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 9" 4178 1596 490 0 3
3 "LA CROSSE" "City of LA CROSSE Ward 10" 682 217 124 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 11" 676 195 143 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 12" 914 335 121 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 13" 844 310 112 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 14" 1326 496 167 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 15" 800 321 78 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 16" 2088 761 281 0 2
3 "LA CROSSE" "City of LA CROSSE Ward 17" 730 267 98 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 18" 990 359 136 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 19" 912 319 136 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 20" 1648 602 220 0 2
3 "LA CROSSE" "City of LA CROSSE Ward 21" 3970 1404 578 0 3
3 "LA CROSSE" "City of LA CROSSE Ward 22" 2560 902 376 0 2
3 "LA CROSSE" "City of LA CROSSE Ward 23" 986 332 160 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 24" 2284 768 374 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 25" 1544 491 280 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 26" 3234 1091 525 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 27" 1656 582 242 0 4
3 "LA CROSSE" "City of LA CROSSE Ward 28" 1294 419 227 0 1
3 "LA CROSSE" "City of LA CROSSE Ward 29" 3502 1144 607 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 30" 0 0 0 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 31" 0 0 0 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 32" 0 0 0 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 33" 0 0 0 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 34" 0 0 0 0 0
3 "LA CROSSE" "City of LA CROSSE Ward 35" 2 1 0 0 0
3 "LA CROSSE" "City of ONALASKA Wards 1-4" 7616 2180 1628 0 0
3 "LA CROSSE" "City of ONALASKA Wards 5-8" 6638 2040 1278 0 1
3 "LA CROSSE" "City of ONALASKA Wards 9-12" 7918 2114 1840 0 5
3 MONROE "Town of ADRIAN Ward 1" 944 175 297 0 0
3 MONROE "Town of ANGELO Wards 1-3" 1492 272 473 0 1
3 MONROE "Town of CLIFTON Ward 1" 476 102 136 0 0
3 MONROE "Town of GLENDALE Ward 1" 718 125 234 0 0
3 MONROE "Town of GRANT Ward 1" 538 71 198 0 0
3 MONROE "Town of GREENFIELD Wards 1-2" 838 144 275 0 0
3 MONROE "Town of JEFFERSON Ward 1" 630 138 177 0 0
3 MONROE "Town of LAFAYETTE Wards 1-2" 398 77 122 0 0
3 MONROE "Town of LA GRANGE Wards 1B,2B,3B" 156 22 56 0 0
3 MONROE "Town of LEON Wards 1-2" 1350 235 440 0 0
3 MONROE "Town of LITTLE FALLS Wards 1-2" 1704 330 522 0 0
3 MONROE "Town of NEW LYME Ward 1" 244 40 82 0 0
3 MONROE "Town of OAKDALE Ward 1" 830 137 278 0 0
3 MONROE "Town of PORTLAND Ward 1" 918 191 268 0 0
3 MONROE "Town of RIDGEVILLE Ward 1" 558 126 153 0 0
3 MONROE "Town of SHELDON Ward 1" 550 84 191 0 0
3 MONROE "Town of SPARTA Wards 1-6" 3680 819 1019 0 2
3 MONROE "Town of TOMAH Wards 1-2" 1702 326 525 0 0
3 MONROE "Town of WELLINGTON Wards 1-2" 576 134 154 0 0
3 MONROE "Town of WELLS Ward 1" 696 134 214 0 0
3 MONROE "Town of WILTON Wards 1-5" 552 100 176 0 0
3 MONROE "Village of CASHTON Wards 1-3" 1014 255 252 0 0
3 MONROE "Village of KENDALL Ward 1" 436 94 124 0 0
3 MONROE "Village of MELVINA Ward 1" 96 20 28 0 0
3 MONROE "Village of NORWALK Ward 1" 454 117 110 0 0
3 MONROE "Village of OAKDALE Ward 1" 280 58 82 0 0
3 MONROE "VILLAGE OF ONTARIO Ward 2" 0 0 0 0 0
3 MONROE "VILLAGE OF ROCKLAND Ward 2" 0 0 0 0 0
3 MONROE "Village of WILTON Ward 1" 490 134 111 0 0
3 MONROE "City of SPARTA Wards 1-6" 2980 774 714 0 2
3 MONROE "City of SPARTA Wards 7-12" 3390 881 811 0 3
3 MONROE "City of SPARTA Wards 13-18,20-23" 2288 591 550 0 3
3 MONROE "City of SPARTA Ward 19" 0 0 0 0 0
3 MONROE "City of TOMAH Wards 1-5A,6" 2692 651 693 0 2
3 MONROE "City of TOMAH Wards 7-11,18" 3034 683 829 0 5
3 MONROE "City of TOMAH Wards 12-16" 2704 644 707 0 1
3 MONROE "City of TOMAH Wards 17,19-23" 0 0 0 0 0
3 PEPIN "Town of ALBANY Ward 1" 718 164 195 0 0
3 PEPIN "Town of DURAND Wards 1-2" 826 129 284 0 0
3 PEPIN "Town of FRANKFORT Ward 1" 380 84 106 0 0
3 PEPIN "Town of LIMA Wards 1-2" 662 128 203 0 0
3 PEPIN "Town of PEPIN Wards 1-2" 920 194 266 0 0
3 PEPIN "Town of STOCKHOLM Ward 1" 310 87 68 0 0
3 PEPIN "Town of WATERVILLE Wards 1-2" 908 143 311 0 0
3 PEPIN "Town of WAUBEEK Ward 1" 520 95 165 0 0
3 PEPIN "Village of PEPIN Wards 1-2" 914 244 213 0 0
3 PEPIN "Village of STOCKHOLM Ward 1" 128 34 30 0 0
3 PEPIN "City of DURAND Wards 1-3" 1928 380 584 0 0
3 PIERCE "Town of CLIFTON Wards 1-3" 3052 694 832 0 0
3 PIERCE "Town of DIAMOND BLUFF Ward 1" 632 115 201 0 0
3 PIERCE "Town of ELLSWORTH Wards 1-2" 1440 254 465 0 1
3 PIERCE "Town of EL PASO Ward 1" 886 170 273 0 0
3 PIERCE "Town of GILMAN Ward 1" 1256 262 365 0 1
3 PIERCE "Town of HARTLAND Ward 1" 1062 154 377 0 0
3 PIERCE "Town of ISABELLE Ward 1" 330 53 112 0 0
3 PIERCE "Town of MAIDEN ROCK Ward 1" 768 133 251 0 0
3 PIERCE "Town of MARTELL Wards 1-2" 1528 310 451 0 3
3 PIERCE "Town of OAK GROVE Wards 1-3" 3076 548 990 0 0
3 PIERCE "Town of RIVER FALLS Wards 1-3" 3038 740 779 0 0
3 PIERCE "Town of ROCK ELM Ward 1" 526 115 148 0 0
3 PIERCE "Town of SALEM Ward 1" 544 94 178 0 0
3 PIERCE "Town of SPRING LAKE Wards 1-2" 746 130 243 0 0
3 PIERCE "Town of TRENTON Wards 1-2" 2212 413 693 0 0
3 PIERCE "Town of TRIMBELLE Wards 1-2" 2112 342 714 0 0
3 PIERCE "Town of UNION Ward 1" 722 110 251 0 0
3 PIERCE "Village of BAY CITY Ward 1" 492 95 151 0 0
3 PIERCE "Village of ELLSWORTH Wards 1-4" 3272 650 986 0 0
3 PIERCE "Village of ELMWOOD Ward 1" 842 169 252 0 0
3 PIERCE "Village of MAIDEN ROCK Ward 1" 176 38 50 0 0
3 PIERCE "Village of PLUM CITY Ward 1" 552 110 166 0 0
3 PIERCE "Village of SPRING VALLEY Wards 1-2" 1490 345 400 0 0
3 PIERCE "City of PRESCOTT Wards 1-6" 4734 1085 1281 0 1
3 PIERCE "City of RIVER FALLS Ward 5" 666 169 164 0 0
3 PIERCE "City of RIVER FALLS Wards 6-8" 4142 1258 813 0 0
3 PIERCE "City of RIVER FALLS Wards 9-11" 2500 704 546 0 0
3 PIERCE "City of RIVER FALLS Wards 12-14" 3374 948 739 0 0
3 PORTAGE "Town of ALBAN Ward 1" 1080 240 300 0 0
3 PORTAGE "Town of ALMOND Ward 1" 880 140 300 0 0
3 PORTAGE "Town of AMHERST Wards 1-2" 1832 450 466 0 0
3 PORTAGE "Town of BELMONT Ward 1" 764 139 243 0 0
3 PORTAGE "Town of BUENA VISTA Wards 1-2" 1472 270 466 0 0
3 PORTAGE "Town of CARSON Wards 1-2" 1768 382 502 0 0
3 PORTAGE "Town of DEWEY Ward 1" 1294 305 342 0 0
3 PORTAGE "Town of EAU PLEINE Ward 1" 1292 268 378 0 0
3 PORTAGE "Town of GRANT Wards 1-2,4" 1954 383 593 0 1
3 PORTAGE "Town of GRANT Ward 3" 448 83 141 0 0
3 PORTAGE "Town of HULL Wards 1-3" 2438 646 572 0 1
3 PORTAGE "Town of HULL Wards 4-5" 2198 514 585 0 0
3 PORTAGE "Town of HULL Wards 6-8" 2428 658 555 0 1
3 PORTAGE "Town of LANARK Wards 1-2" 1934 436 531 0 0
3 PORTAGE "Town of LINWOOD Wards 1-2" 1472 335 401 0 0
3 PORTAGE "Town of NEW HOPE Ward 1" 1002 296 205 0 0
3 PORTAGE "Town of PINE GROVE Wards 1-2" 818 164 245 0 0
3 PORTAGE "Town of PLOVER Wards 1-3" 1858 405 524 0 0
3 PORTAGE "Town of SHARON Wards 1-3" 2820 610 799 0 1
3 PORTAGE "Town of STOCKTON Wards 1-5" 3800 855 1045 0 0
3 PORTAGE "Village of ALMOND Ward 1" 386 68 125 0 0
3 PORTAGE "Village of AMHERST Wards 1-2" 1268 345 289 0 0
3 PORTAGE "Village of AMHERST JUNCTION Ward 1" 442 88 133 0 0
3 PORTAGE "Village of JUNCTION CITY Ward 1" 396 98 99 0 1
